rank,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,attr_41,attr_42,attr_43,attr_44,attr_45,attr_46,attr_47,attr_48,attr_49,attr_50,attr_51,attr_52,attr_53,attr_54,attr_55,attr_56,attr_57,attr_58,attr_59,attr_60,attr_61,attr_62,attr_63,attr_64,attr_65,attr_66,attr_67,attr_68,attr_69,attr_70,attr_71,attr_72,attr_73,attr_74,attr_75,attr_76,attr_77,attr_78,attr_79,attr_80,attr_81,class
11,28.611,31.667,34.722,38.333,41.667,46.111,57.778,91.389,85.278,33.333,36.111,40.833,45.278,52.778,90.278,95.556,96.111,95,36.389,40.556,45.278,73.333,92.5,93.611,94.167,93.889,94.444,40,47.5,86.667,93.056,93.333,93.611,93.611,94.444,94.444,58.611,91.389,93.611,94.722,92.778,92.778,94.167,93.889,93.333,91.944,93.333,94.167,94.444,93.889,93.333,94.167,93.889,93.056,93.611,93.611,93.889,94.722,95,92.778,94.167,94.167,92.778,92.222,94.167,94.444,94.167,93.889,94.444,94.444,95,91.111,88.333,94.167,96.111,95.833,95,96.667,95.278,93.611,78.611,A
12,37.222,58.056,93.889,96.111,96.667,95.278,93.889,67.5,51.389,71.389,93.611,96.389,96.389,96.667,96.389,96.667,95.833,93.611,91.667,95.278,95.556,95.278,95,95.833,95.833,94.722,92.222,92.222,95.556,96.667,95.556,95.556,96.944,95.278,94.167,88.333,93.056,96.389,96.389,96.389,95.556,96.944,82.5,75.833,80,44.444,92.5,94.444,60.556,60.556,63.333,65.556,78.056,78.611,36.389,42.222,48.056,52.5,55.556,58.611,61.389,76.111,77.222,32.222,37.5,40.278,45.278,48.056,52.5,55.556,61.944,74.444,28.889,33.056,36.111,38.889,41.389,46.111,48.889,53.889,73.056,B
13,32.222,38.889,87.778,95,95.278,94.167,79.722,35.556,31.389,37.778,63.889,93.333,95.556,95,95,90.556,45,37.5,43.611,56.667,88.611,94.722,94.167,94.167,83.889,49.722,41.667,45,55.278,68.611,80.278,83.889,85.556,82.5,51.111,44.167,47.5,56.667,66.944,75.278,80.833,83.333,75.556,53.611,46.389,51.111,61.111,69.722,77.5,81.389,81.389,64.444,56.111,48.333,60.278,77.222,93.611,92.778,81.944,73.056,66.944,59.167,52.222,88.333,94.444,73.889,62.778,81.111,73.611,68.056,60.833,53.611,42.5,48.333,50.833,55.556,60,71.389,68.889,64.444,58.611,C
14,34.444,70.278,93.333,95.833,96.111,91.667,90.278,45.556,33.889,42.222,85.556,94.167,95,90,88.889,89.444,79.722,40.278,46.944,62.222,75.556,81.111,86.111,91.944,90.833,61.667,44.167,50.833,61.667,71.389,82.778,94.444,95.556,94.444,85,48.611,52.222,62.222,69.444,83.611,89.167,91.389,92.778,90.833,60.833,56.389,65.556,72.778,78.611,83.889,89.444,90.556,90.833,77.222,67.222,93.333,96.111,95.833,96.667,90.556,90,85,61.944,94.167,96.389,96.111,96.389,96.389,93.611,86.944,73.889,62.778,52.5,93.611,95.833,96.389,62.222,89.444,81.389,75.833,68.611,D
15,76.944,94.444,95.556,94.444,84.444,51.111,45.833,41.944,36.944,92.778,95.278,95.278,94.722,90.556,63.333,55,50.556,45.556,93.611,94.444,95,94.444,93.333,70.556,61.389,58.056,55,90.556,92.222,91.667,89.167,83.611,82.5,94.167,93.889,93.889,59.167,71.111,92.5,93.889,87.778,88.333,95.833,96.389,95.278,53.333,62.778,71.389,78.333,82.5,85.278,89.444,93.611,90.833,50.556,60.556,70.833,77.222,82.222,86.389,88.611,88.611,51.667,48.056,61.667,73.889,81.667,94.167,95.278,94.444,85,45.278,43.889,72.778,92.778,95.278,95.833,94.444,90,46.111,37.778,E
16,37.222,74.444,89.444,66.667,52.222,47.5,44.722,40.833,36.111,73.056,88.611,81.944,70.278,61.389,56.667,53.333,49.722,45,91.111,82.778,78.611,72.778,67.222,62.778,60.833,63.056,93.333,88.333,82.5,79.444,76.389,72.778,71.111,70.556,94.167,92.5,84.444,82.222,80.278,78.056,76.944,75.556,78.611,93.056,92.778,89.722,82.778,82.222,80.556,79.444,81.111,95.556,95.556,93.889,44.722,79.167,95.556,83.611,83.611,96.944,95,71.944,64.722,36.667,43.889,50,56.944,62.5,67.778,87.5,62.5,53.056,31.944,37.5,41.944,46.667,52.5,60.556,83.333,57.222,46.389,F
17,88.056,95,95.278,93.333,78.889,43.611,36.667,32.778,29.722,87.222,90,90.833,92.5,76.389,51.667,41.667,36.667,32.778,87.5,86.667,82.778,77.778,66.667,55.556,45.833,39.722,34.444,86.111,84.167,79.722,75.556,68.056,61.389,52.222,42.222,36.667,84.167,82.5,79.444,76.111,72.5,68.333,64.167,55.833,41.389,89.167,95.556,96.667,96.667,96.944,80.833,95.556,90.556,46.111,75,94.722,95.278,93.889,91.111,86.944,93.611,83.889,51.667,46.111,92.778,93.889,92.222,91.667,89.722,91.111,69.722,56.667,32.222,52.5,93.333,96.111,96.389,95,90.278,72.5,62.778,G
18,35,47.5,85.833,71.944,54.167,45.556,40.278,37.5,32.778,41.389,58.056,85.833,70,61.389,53.611,47.778,43.889,37.5,44.722,82.222,76.944,72.222,65.833,60.278,56.667,50.833,43.611,62.778,83.333,77.5,73.056,70.556,67.778,68.889,94.444,85.556,87.778,81.111,80.833,78.333,76.667,79.444,95.278,95.833,94.444,88.889,82.5,81.667,80.556,81.111,95.556,95.833,96.111,94.444,93.056,85,84.722,85.556,89.167,96.944,95.556,95.833,94.167,85.556,85.278,85.278,86.667,90,95,95,95.556,91.944,85,86.667,87.778,89.722,92.222,95,94.722,92.778,55,H
19,28.889,31.944,35,38.056,43.056,69.444,91.944,85.278,65,31.944,35.278,39.167,45,53.333,86.667,83.056,66.944,58.333,34.722,39.444,44.444,55,85,73.611,70,63.889,56.111,38.333,43.611,57.5,87.5,76.111,73.333,68.611,62.778,55.833,41.111,72.5,84.444,78.889,76.667,72.778,68.889,63.611,56.944,68.333,87.5,81.111,79.444,77.222,74.722,70.833,64.722,58.611,83.611,82.5,81.944,79.722,77.222,75.278,71.667,67.222,60.833,82.778,83.333,81.944,81.667,79.444,76.389,74.444,71.667,66.389,83.333,82.778,81.944,82.778,80.556,78.333,78.333,81.667,92.5,I
20,40.278,76.944,93.889,95.833,96.389,96.667,97.222,95.556,94.444,90,95.278,96.667,97.778,97.5,97.5,97.5,95.833,94.722,88.333,89.167,89.444,87.5,86.111,85.278,82.222,76.389,69.722,85,88.056,87.778,86.111,84.167,81.944,78.056,72.222,64.722,51.944,74.722,88.056,86.389,84.167,81.667,78.056,72.222,65.833,48.333,56.944,68.889,75.833,88.611,84.722,80,74.722,67.778,44.167,53.333,62.778,73.056,79.722,83.889,86.944,89.167,85,41.111,49.444,62.5,73.056,80.278,84.167,87.222,88.889,88.889,35,44.722,71.111,81.667,93.889,96.111,96.667,94.167,91.944,J
21,32.5,38.056,58.056,93.333,96.111,96.111,94.722,85.278,42.222,38.611,74.444,94.444,96.389,96.667,96.667,96.111,95,89.722,68.889,93.333,95.556,95.833,96.667,96.944,96.389,95.556,93.056,87.5,94.167,95.556,95.556,96.389,95.556,96.111,95.833,93.889,94.722,94.722,95,95.556,96.667,95,95.278,95.278,93.611,95,95,94.444,95.556,96.667,95,95,95.556,93.333,94.444,95,95,95.556,96.389,95.278,95.278,95.833,93.611,93.333,95,96.389,95.833,96.944,96.111,95.833,95.556,93.333,74.167,93.889,95.833,96.389,96.111,95.833,96.667,95.556,91.944,A
22,41.389,51.111,91.111,96.111,96.944,97.222,96.667,95.278,85.556,91.389,94.444,95.556,96.111,96.389,95.278,96.944,95.833,89.444,94.167,95.556,95.278,95.278,96.389,95.833,94.167,95.278,83.889,95,94.444,94.444,95.278,96.389,95,94.167,85.556,76.944,93.889,96.111,96.667,96.944,95.833,94.167,70.278,71.667,74.167,43.056,49.444,54.722,56.944,59.167,61.389,65.556,68.333,72.222,36.667,41.389,45.556,49.167,53.056,55.833,61.111,65.833,70.833,31.667,36.944,41.111,43.056,48.056,50.556,55.833,61.667,70,27.5,32.778,36.944,38.611,43.056,46.111,49.444,57.778,71.667,B
23,31.111,43.056,92.222,95.556,94.167,96.111,93.056,64.444,43.889,39.167,55.556,76.944,81.111,83.333,84.167,85,90.833,92.5,44.722,53.889,65,72.5,77.222,80,82.778,85,85.278,48.056,53.889,62.5,69.722,74.167,77.222,81.111,82.5,83.889,49.167,55.556,63.056,69.444,75,78.611,81.667,83.889,83.889,49.722,58.333,65.833,71.667,75.833,79.444,81.667,82.778,81.944,53.889,63.333,70.278,75.278,78.889,80.556,80.556,79.167,66.667,65.833,90.833,95.833,96.667,82.5,91.944,81.667,75.556,67.778,93.333,96.111,96.389,96.111,95.278,91.944,81.667,77.5,71.389,C
24,94.722,95.556,84.167,83.889,86.667,87.222,89.167,90,89.167,67.222,72.5,76.667,81.667,86.111,87.222,89.722,90.556,90.833,61.389,68.889,75,83.889,88.056,90,91.389,92.5,90.833,59.722,67.5,83.889,88.056,95.556,96.667,96.389,95.833,88.056,60.278,66.111,82.778,87.222,89.167,90.278,91.111,92.5,92.222,62.222,68.611,74.444,83.333,87.778,88.889,90.833,92.5,91.944,70.278,76.944,80,95.556,92.5,91.111,91.111,91.944,66.944,94.444,96.667,96.667,96.667,96.667,93.333,79.722,69.722,59.444,45.278,48.889,50.833,53.056,55.833,59.722,85.556,70,52.778,D
25,88.611,93.056,91.111,64.167,54.722,50.833,47.778,45,40.278,91.389,90.278,81.389,68.889,61.667,57.5,54.444,52.5,49.722,86.667,82.222,76.944,72.222,66.111,62.5,62.222,63.889,93.333,86.389,81.944,78.333,74.722,71.389,70.556,70.278,74.167,83.611,60.833,89.167,95.278,77.222,76.944,75.556,93.889,73.333,63.056,56.944,69.167,78.333,86.667,91.944,93.889,85.833,72.778,60.278,54.722,71.667,82.222,93.889,96.111,95.833,94.167,90,61.111,59.167,91.944,94.444,95.556,94.722,95.556,94.722,93.333,79.444,62.222,93.333,94.722,94.722,95.556,95.833,94.167,93.056,79.444,E
26,38.611,56.111,91.389,93.056,91.111,74.167,58.611,50.556,43.611,74.167,90.833,90.556,87.5,81.944,74.722,66.944,60.278,55.556,90.556,90,88.611,86.667,84.167,82.222,95,95,94.167,89.444,89.444,88.056,88.611,87.778,92.222,95.833,95.833,94.167,75,95,90.833,90.833,92.222,96.111,95.833,92.5,62.778,44.444,53.611,59.167,64.722,69.444,72.222,78.889,61.944,54.722,39.722,46.111,52.222,59.722,65.833,71.389,80.833,57.778,49.444,35.278,40,46.944,53.611,62.5,72.222,75.278,53.889,44.444,31.667,35.278,41.944,48.056,60.556,74.167,78.056,49.444,37.222,F
27,41.667,58.056,91.111,89.722,88.611,85,67.5,50,39.722,86.667,89.167,88.889,87.222,83.056,76.667,66.944,56.667,46.389,87.778,88.333,86.389,84.444,80.556,75.833,70,62.778,54.722,74.167,86.111,85.833,84.167,81.389,78.056,74.167,69.722,64.722,52.222,81.944,91.389,90.833,90.278,88.611,86.111,81.944,73.056,45.833,83.889,91.111,91.389,88.889,86.667,83.889,78.333,66.667,45.556,74.444,92.222,96.389,96.389,95.278,93.333,83.611,74.444,41.667,49.722,64.722,86.944,86.389,64.167,59.722,56.389,52.222,36.667,44.722,57.778,82.222,64.722,55.833,50,44.444,35,G
28,88.056,63.611,57.778,55,54.722,55.833,81.111,95.278,93.889,87.778,70.556,65.833,63.333,64.167,83.333,95,96.111,94.722,50.833,89.444,71.111,69.444,75,93.611,96.111,95.556,94.444,44.444,86.389,75,76.389,91.389,94.444,96.111,95.556,94.444,41.667,63.889,81.944,81.667,87.778,95.833,96.389,96.389,95,38.889,43.056,85.556,82.5,87.5,92.778,95,95.556,93.611,35.278,38.611,47.222,91.111,87.222,89.722,95,95,93.889,31.667,35.556,40.278,73.333,87.222,90.833,92.222,94.444,92.222,29.167,32.5,35.833,40.556,88.611,90.556,93.333,93.889,90.556,H
29,28.611,32.222,34.167,38.333,41.944,51.667,88.056,90.833,49.444,31.667,35,39.722,44.444,56.667,91.389,85.278,71.944,51.944,34.444,38.889,44.444,74.167,83.611,76.944,72.5,65,53.333,37.5,44.167,72.222,80,79.167,75.556,69.722,63.333,54.167,40.833,85,82.222,81.667,79.722,75,70.278,64.167,55.556,70.556,84.722,83.611,81.389,79.444,75.833,71.389,65.833,58.056,82.222,85,83.889,81.944,80,78.333,75,70.556,64.167,85.556,84.722,83.889,83.056,82.222,79.722,77.222,76.389,82.222,84.444,85.556,85,85,84.167,83.611,85.278,92.222,90.556,I
30,43.056,88.611,94.722,96.389,96.667,96.389,97.222,96.667,95.278,90.278,94.444,96.111,96.389,95.833,96.111,96.667,96.111,94.167,94.444,95.833,96.389,97.222,96.944,96.667,97.222,95.833,94.167,90.833,95.833,96.389,96.944,97.222,96.944,95.833,88.056,67.778,58.889,90.278,90,86.944,83.333,78.889,73.333,64.167,56.111,45.556,56.111,75,89.444,85.278,80,71.667,61.667,53.056,41.111,48.056,56.389,64.167,72.5,88.611,78.333,61.111,49.722,36.667,42.5,50.556,59.444,69.444,76.389,78.889,68.889,46.389,32.5,36.389,43.611,55.556,71.111,79.167,82.222,76.667,40,J
31,30.556,37.222,50.278,89.722,95.278,95.833,94.722,85.278,41.944,35.556,74.167,93.056,94.444,95.278,95.556,95.833,94.722,85,45.833,90.833,94.722,94.167,94.167,94.444,95.278,95,92.5,74.167,92.222,94.167,93.611,94.444,94.444,95.278,94.722,93.889,92.5,93.611,93.889,93.889,93.056,93.333,93.889,92.778,92.778,92.5,93.889,93.611,93.333,92.222,93.333,92.778,93.333,92.778,91.389,93.611,94.167,93.889,92.778,94.167,93.611,93.611,92.778,88.333,93.333,94.444,93.611,94.444,93.889,95,94.444,93.333,42.222,92.222,95,95.278,95,95.556,95.556,94.167,89.444,A
32,39.167,52.222,90.556,96.111,97.222,97.222,96.944,96.667,93.333,77.222,93.333,96.111,96.389,96.389,96.389,96.667,96.389,92.222,91.389,95,96.944,96.667,96.944,96.667,96.389,96.667,86.944,53.333,64.444,91.111,95.833,96.667,96.667,83.611,82.222,81.667,45.278,52.222,58.333,63.611,68.889,72.5,75.833,79.167,78.333,40.833,48.056,53.889,59.167,64.722,70,73.889,76.944,81.111,38.056,43.889,50,56.944,62.778,69.722,73.611,78.056,74.444,35.556,40.556,47.778,54.444,62.5,69.444,73.333,70,43.056,31.667,35.833,42.5,51.111,63.333,72.778,76.667,52.778,37.778,B
33,32.5,37.778,44.722,57.222,78.056,86.111,90.278,92.222,61.389,36.944,43.611,50.833,60,71.667,78.889,83.889,85.833,88.333,42.5,48.889,56.389,63.333,70.556,76.667,82.5,85.556,86.111,49.722,56.111,62.778,69.722,75.556,78.889,83.056,85.556,85.833,60,93.889,96.667,97.5,97.5,97.222,96.667,95.556,86.667,94.167,96.389,97.222,96.944,96.944,97.222,81.667,91.944,90,43.611,53.056,55,56.389,58.056,60.833,63.611,78.333,88.333,35.556,41.667,45.833,49.722,51.667,55.278,58.611,61.389,85.556,31.389,35.833,39.722,42.778,46.111,48.056,51.944,56.667,73.056,C
34,72.222,80.278,84.167,86.667,88.611,90.278,90.278,92.778,85.833,62.778,71.944,80,84.444,87.222,88.056,90.278,91.667,90.833,63.333,72.778,80.556,85.278,88.056,90.278,91.389,92.222,90.556,71.389,91.389,96.389,97.5,97.5,97.222,96.944,95,85.833,95,95.556,96.389,93.611,93.611,93.611,94.444,95,93.611,77.222,87.222,91.389,93.889,95,95.278,95.833,95.833,93.056,93.333,96.389,96.944,97.222,97.222,96.111,93.056,73.889,63.611,93.611,69.722,56.944,58.333,61.111,89.167,75.556,68.611,57.5,40.833,45.833,48.333,51.389,54.167,61.389,77.5,67.778,54.167,D
35,88.611,91.111,70.833,59.444,54.167,51.944,51.667,50.278,48.889,91.944,85.556,72.222,65.833,61.389,58.889,58.889,60.833,81.111,85,79.722,73.889,70.833,67.5,65.278,65.556,68.889,81.111,81.389,79.444,77.222,75,72.5,71.944,71.667,93.889,80,59.722,93.056,95.556,77.5,77.222,76.111,93.889,83.611,71.389,50.833,61.667,71.111,78.889,86.667,93.889,95.278,95,86.667,47.5,56.389,67.222,82.5,92.778,94.167,96.111,95.833,94.722,43.611,51.667,68.056,93.056,95.556,94.167,95.556,95.278,94.722,38.056,46.667,88.889,94.722,95.833,94.722,95.278,95.278,93.889,E
36,73.611,90.556,70.278,58.889,53.611,51.389,50.278,48.611,44.722,86.389,80.833,71.389,65,60.833,59.167,61.111,95.278,93.889,83.056,79.444,73.611,71.111,68.889,70.278,93.889,95.556,94.444,81.389,81.667,78.889,77.5,76.667,92.778,95,87.222,64.444,52.5,63.333,69.167,72.5,75.278,74.444,68.056,61.944,53.889,45.556,54.444,61.389,66.944,72.5,73.333,63.889,56.389,48.333,41.667,50,56.389,64.167,70,73.056,70.833,52.222,44.722,37.778,45.833,53.056,63.056,69.722,74.722,74.444,48.333,40,33.611,40.278,48.889,62.778,72.222,77.222,76.944,41.667,35.556,F
37,51.111,87.778,88.333,86.111,80.556,66.667,50,40.556,34.722,81.389,87.222,86.111,81.944,76.389,68.056,57.778,46.944,40.556,83.056,86.667,85.278,82.778,78.056,73.333,66.667,59.167,46.389,74.444,91.944,95.833,96.944,97.222,96.389,95.833,90.278,63.056,92.222,94.444,94.722,94.444,93.889,91.944,88.056,82.778,70.278,93.333,94.722,94.722,95.556,96.944,96.389,96.667,96.111,94.444,52.222,62.778,67.778,72.5,76.389,87.222,71.111,63.056,54.167,42.5,50.556,58.889,68.056,75,84.722,68.889,54.444,45.556,35,43.889,51.389,64.167,77.778,83.611,74.444,45.833,38.611,G
38,37.222,43.333,48.056,53.889,88.611,95,95.833,94.444,84.444,50,54.167,58.056,65.556,93.611,94.722,96.111,95.278,93.333,94.722,78.611,68.611,77.222,95.556,94.722,95.278,95.556,93.889,79.722,83.611,78.611,81.944,95,94.167,95,94.444,94.444,56.389,89.167,84.444,85.833,87.5,95.278,96.667,95.278,94.167,50.556,85.833,89.167,88.056,88.611,91.111,94.167,95.278,94.167,45,64.167,93.333,87.5,88.889,90.278,93.056,93.889,93.056,40,50.556,91.111,88.611,89.167,90,91.389,92.5,88.889,35.278,43.056,88.333,90.556,90.278,90.556,91.389,91.111,83.611,H
39,28.889,31.944,35.556,38.889,44.722,69.167,91.111,78.889,50.833,32.222,36.111,39.722,45.278,51.111,76.944,87.5,62.5,52.5,35,39.167,43.889,49.722,68.889,86.667,70,61.944,53.611,37.5,43.056,48.889,57.222,86.111,74.722,69.722,62.5,54.722,41.111,48.056,73.333,88.611,79.167,75.833,71.111,66.111,58.611,45.278,84.444,90,82.778,80.556,76.667,74.167,69.722,64.167,85.833,87.5,84.167,82.778,80.278,78.333,76.944,74.167,71.111,90.556,84.722,84.444,83.611,82.5,81.667,81.389,83.056,93.611,84.444,85.556,85.278,85.556,85,84.722,85,94.444,85,I
40,76.111,94.167,96.111,96.944,96.944,96.944,96.944,96.944,94.722,93.611,95.278,96.389,96.389,96.667,96.111,96.111,96.111,94.167,93.889,96.111,96.667,96.389,96.667,97.222,96.389,95.278,91.389,89.722,95.833,97.222,96.944,96.667,96.667,93.889,69.444,58.611,56.389,88.333,86.944,84.444,80.278,74.444,68.611,61.389,53.333,52.222,61.389,87.778,85.833,80,74.444,66.944,58.056,50.556,50.556,58.889,67.222,74.167,89.167,79.444,68.333,55.833,46.667,48.056,58.056,66.667,73.889,78.333,82.5,82.222,53.611,42.5,45,58.611,69.444,75.833,79.444,82.5,88.333,45.833,35.278,J
41,29.167,32.5,35.556,38.611,50.278,90,93.889,91.667,51.944,32.5,36.389,41.389,75,94.167,95.833,96.389,95.278,91.667,37.5,41.944,75,93.889,95.833,95.278,96.667,97.222,95.278,42.5,56.111,91.111,95,96.111,95,95.833,96.667,94.722,53.889,90.556,94.444,95.833,96.389,95,96.389,95.833,94.167,90.278,94.167,95.278,96.111,96.389,95.278,96.111,96.111,94.167,95,95,95.833,96.111,96.667,95.556,95.833,95.833,94.167,94.722,95.278,96.111,95.833,96.667,95.833,96.111,96.111,93.889,92.5,95.556,96.389,96.667,96.944,96.667,96.667,95.556,92.778,A
