attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,attr_41,attr_42,attr_43,attr_44,attr_45,attr_46,attr_47,attr_48,attr_49,attr_50,attr_51,attr_52,attr_53,attr_54,attr_55,attr_56,attr_57,attr_58,attr_59,attr_60,attr_61,attr_62,attr_63,attr_64,attr_65,attr_66,attr_67,attr_68,attr_69,attr_70,attr_71,attr_72,attr_73,attr_74,attr_75,attr_76,attr_77,attr_78,attr_79,attr_80,attr_81,attr_82,attr_83,attr_84,attr_85,attr_86,attr_87,attr_88,attr_89,attr_90,attr_91,attr_92,attr_93,attr_94,attr_95,attr_96,attr_97,attr_98,attr_99,class
41.667,89.444,94.722,96.111,95.833,94.444,79.444,51.389,39.722,35.278,32.222,80.556,94.444,96.667,96.667,97.222,96.667,96.667,95,87.222,48.056,38.333,90,95.278,96.667,96.944,97.5,97.222,97.222,96.944,95.556,91.389,52.5,92.222,95.556,96.389,97.5,97.222,97.5,97.222,97.222,96.111,94.167,85.833,91.389,94.722,96.389,96.667,97.5,97.222,96.667,97.778,96.667,96.111,93.056,80.833,93.333,96.111,96.667,97.778,96.944,96.944,97.222,96.944,96.111,94.722,47.222,88.611,94.722,96.389,97.5,97.222,96.944,97.778,96.944,96.667,95,36.667,52.222,91.944,95.833,96.944,97.5,97.222,97.5,97.222,96.111,93.333,31.944,36.111,46.667,90.833,95.833,96.667,96.944,96.944,96.667,95.278,89.722,A
91.111,90.556,61.389,50.556,45.833,43.333,40.556,38.611,36.111,33.056,30,90.833,93.611,92.222,68.056,54.167,50.278,47.222,43.611,40.833,37.5,33.889,58.333,69.167,91.944,94.722,94.722,91.944,60.556,52.5,46.389,42.5,38.056,54.167,61.667,68.333,74.167,78.611,82.778,91.944,94.167,92.222,61.389,43.056,51.111,58.889,66.944,72.5,77.5,81.389,83.889,86.111,88.056,90.833,87.5,50.556,58.333,67.5,74.444,80.278,83.056,84.444,86.944,87.778,88.611,91.389,49.167,61.944,76.389,81.111,83.889,84.722,85.833,87.5,88.056,88.333,91.389,44.722,86.667,94.444,96.389,97.222,97.5,92.222,90.556,90.278,90,93.889,33.333,75.556,94.167,81.944,82.5,97.222,96.389,96.667,96.667,95.556,92.778,B
80.556,94.444,96.111,96.667,96.667,96.111,95,85.556,46.667,36.389,32.778,90,95,89.444,84.722,85,84.167,85,91.944,85.556,41.389,36.944,60.556,73.056,78.056,80,82.222,83.611,84.444,90.833,84.722,48.333,40.278,57.222,65.556,71.111,76.389,80,81.667,87.778,87.222,62.778,51.111,44.444,56.389,64.722,70.278,75.278,78.611,83.056,90.278,78.611,60.833,53.611,47.5,57.778,65.833,71.389,78.611,89.722,89.444,78.056,67.778,62.222,55.833,50,62.222,71.111,90,91.667,85.556,79.167,73.889,69.444,64.722,59.167,52.778,85,91.389,91.111,84.444,81.944,78.889,75,71.389,67.222,62.222,56.111,91.111,86.667,85.833,84.444,81.944,79.722,77.222,75,71.667,68.056,63.333,C
64.444,57.222,53.611,50.278,49.167,49.167,49.444,53.056,79.722,44.167,30.556,70.556,65,62.222,59.167,59.167,59.444,65.833,92.222,92.5,88.889,44.444,46.667,66.111,65.278,65.556,65.556,66.667,72.778,91.944,92.222,91.667,72.778,41.389,71.111,67.222,67.778,69.167,71.667,74.722,83.889,90.556,90.833,89.167,38.611,43.056,81.389,72.222,72.222,73.611,76.389,79.444,85.833,88.333,90.833,35.556,40,47.222,73.611,75.556,76.389,77.222,79.167,83.056,86.389,87.222,31.667,35.556,40.278,52.5,74.444,78.056,79.444,79.722,82.778,85.278,84.167,30,33.056,36.389,39.167,80.833,79.167,80.278,80.556,84.444,85.833,86.111,28.056,30.278,32.5,35,38.889,72.778,81.389,82.778,85,85.833,82.222,D
45,73.056,92.778,95.833,96.389,96.667,96.389,95,89.722,46.944,36.389,48.611,68.889,83.889,93.056,95.278,96.667,96.944,96.389,95.833,91.944,52.5,49.722,86.667,95,96.667,97.222,97.778,97.222,97.778,97.222,95.556,92.222,51.667,67.222,90.556,95.556,96.667,97.222,97.222,97.222,97.222,96.111,93.889,53.056,63.333,80.833,93.889,95.833,96.944,96.944,96.667,96.389,93.056,69.722,56.667,87.222,95,96.667,96.667,97.222,96.667,95.556,92.222,72.5,58.056,68.889,93.889,96.111,97.222,97.222,97.222,97.222,96.111,93.889,80.556,54.167,93.333,96.111,97.222,97.778,97.222,97.778,96.667,96.667,95,90,49.722,91.944,95.833,96.944,97.5,97.222,97.5,97.222,96.111,93.889,67.222,38.056,E
31.944,35.833,40.278,72.222,93.333,95.278,95.278,73.333,62.222,61.944,91.389,36.111,44.167,85.278,95,96.389,96.944,97.222,95.556,84.444,95,89.167,42.778,75.556,94.167,96.389,96.667,96.667,95.833,95.833,94.167,85,65,63.611,93.056,96.111,97.222,96.944,96.389,96.389,96.111,93.611,79.722,62.222,89.722,94.722,96.111,96.111,95.833,95.556,95.833,94.444,91.111,69.167,62.222,92.222,95.556,96.389,95.556,95.833,95.833,94.722,93.333,86.111,72.778,66.667,92.222,95.556,96.389,95,95.833,95.833,94.167,93.889,90,78.056,75.278,92.5,95.556,96.667,95.833,95.833,96.667,95.278,95.556,95.278,94.167,91.944,90.278,95.556,96.667,96.944,96.944,96.111,96.389,95.278,94.444,90.833,50.278,F
32.778,37.222,41.111,45,48.611,54.722,80.556,76.667,46.944,38.889,33.889,39.167,45.833,50,53.611,57.778,62.778,85.833,65,52.222,44.722,39.167,52.5,56.667,58.056,60,63.889,67.5,87.222,62.778,55.833,49.444,43.889,92.778,78.056,68.889,69.167,69.444,71.944,84.722,65.278,60.278,53.889,47.222,90.833,82.5,76.389,75,75,76.667,90.556,83.889,65.278,59.722,53.056,89.722,94.722,82.222,80.556,80.278,80.833,83.333,95.278,79.444,67.5,64.167,63.333,92.222,84.444,83.611,83.611,83.333,85,90.833,96.111,95.556,94.167,41.944,88.333,94.167,85.278,85.278,84.722,85.278,88.611,91.111,93.611,93.889,33.333,42.222,91.389,89.722,87.222,87.778,88.056,88.889,90.556,93.889,77.5,G
47.222,88.333,95,96.667,96.667,97.222,96.667,96.667,95,85.833,48.333,89.722,95.278,96.667,97.222,97.778,97.222,97.5,97.222,96.667,94.167,86.389,91.667,95.278,96.944,97.5,97.778,97.778,96.944,97.778,96.667,95.278,92.5,86.111,95,96.667,97.222,97.778,97.778,97.778,97.778,97.222,96.667,95.278,44.167,51.389,57.222,61.944,65.833,80.556,95,82.222,95.556,94.722,91.667,38.889,44.444,49.722,54.167,58.611,62.5,66.389,76.389,91.111,92.222,88.333,35.556,40,44.722,48.333,53.056,58.056,63.333,80.556,91.667,92.778,86.111,32.778,36.944,40,43.889,47.222,52.778,59.444,85.556,92.222,88.889,51.111,30,33.333,35.556,38.611,41.111,45.556,53.889,85.556,91.111,78.889,45.278,H
89.167,88.056,60.833,51.389,47.5,45,42.778,41.111,38.333,35.556,31.389,90.556,89.167,66.389,59.444,54.444,51.944,48.611,46.944,43.611,40.278,36.111,69.167,88.333,68.889,65.278,60.833,58.056,55,52.778,49.722,46.667,41.667,62.222,91.944,94.722,96.667,85.833,93.333,81.944,62.222,66.944,92.778,60.278,55,88.333,77.5,75.556,72.5,69.722,67.5,67.778,96.667,96.111,94.444,51.667,89.444,88.611,74.722,70.278,65.556,62.5,59.167,56.389,52.778,47.778,50.833,89.167,89.167,74.444,67.222,60.833,57.222,53.056,50.278,45.556,41.111,49.444,90,90.556,82.5,63.333,55.278,51.389,47.5,44.444,40.556,36.389,39.444,88.056,92.5,89.167,54.722,48.333,45.278,42.222,39.167,36.389,32.5,I
92.778,95,95.278,93.611,77.222,50.278,44.167,40.278,36.389,33.333,30.556,57.5,63.611,67.222,90,94.167,93.611,78.333,51.944,43.611,38.333,34.444,51.111,57.222,62.5,66.111,69.444,73.333,85.278,91.389,76.667,49.722,38.056,46.944,52.778,58.611,62.778,67.5,70.556,73.611,76.111,88.611,90.556,69.167,43.889,50,55.278,60.556,65,69.444,73.056,76.944,80.278,81.944,86.667,41.944,46.944,53.056,58.333,64.444,68.889,73.889,80.278,83.056,85,88.056,40.833,44.444,50.833,57.5,64.167,74.167,81.667,91.667,87.222,88.056,87.222,37.222,41.944,48.611,56.944,68.889,91.667,93.889,95.556,95.833,94.167,90,33.056,36.944,42.778,59.444,90.556,95.278,95.833,96.389,96.667,95,92.222,J
30.556,36.111,45.556,78.056,93.889,96.111,96.389,96.111,94.722,85.556,43.056,36.944,70.833,93.333,96.111,97.222,97.222,97.222,97.222,96.667,95,87.222,56.944,90.833,95.833,96.944,97.5,97.778,97.5,97.778,97.222,96.111,93.611,86.111,94.444,96.667,97.222,97.778,97.778,97.778,97.778,97.222,96.389,94.722,91.111,95,96.111,97.222,97.778,97.5,97.222,97.778,96.667,96.111,94.444,93.889,95.556,96.667,97.778,97.778,98.333,97.222,97.778,96.667,96.111,94.444,93.889,95.556,96.667,97.778,97.778,98.333,97.222,97.778,96.667,96.111,94.444,91.389,95.278,96.667,97.222,97.5,98.056,97.5,97.778,96.944,95,91.389,85.556,95,96.667,97.222,97.222,97.222,97.222,96.667,95.556,90.556,47.5,A
88.056,82.5,79.722,89.722,55.833,47.778,45.556,41.944,40.556,37.778,33.056,75.833,73.056,74.167,76.111,84.167,82.778,52.5,49.167,46.111,43.056,38.889,60.278,67.222,72.5,76.111,79.167,80.278,85.833,56.944,54.722,52.222,48.056,54.167,63.056,69.444,74.722,79.722,83.333,85.833,86.389,64.444,88.056,94.167,51.944,60,68.889,75.556,83.611,86.944,92.778,93.333,89.167,70.833,60.833,49.722,60.278,74.722,89.444,94.444,95.556,95.833,94.722,91.389,65.833,52.5,46.667,69.167,91.389,94.722,95.278,95.833,95.556,95.278,92.5,73.611,47.778,41.111,85.278,93.889,94.444,95.278,95,94.167,94.167,90,52.778,42.222,32.5,65.278,91.944,93.889,95,94.722,93.889,93.056,85.278,43.056,35.278,B
61.667,92.778,95.278,95.833,95.278,91.389,48.611,39.444,35.833,33.056,30.833,92.778,95.278,91.667,90,88.333,95,86.667,48.056,41.389,37.222,33.611,92.778,91.944,87.778,85.833,85,83.889,91.111,56.667,46.667,41.389,36.944,85,84.722,79.444,79.444,80.833,80.278,88.611,59.167,51.111,45.278,40.556,54.722,67.778,73.333,77.5,79.722,83.333,85.556,61.667,55.556,49.722,44.167,51.667,60,68.333,74.167,77.778,85.556,76.389,65.556,60.556,54.167,48.333,49.444,58.333,66.389,73.889,82.778,89.444,75.556,69.722,66.389,62.222,56.944,48.611,59.167,73.611,89.722,93.333,81.944,77.222,74.444,73.889,81.389,94.722,44.167,68.056,91.667,95.556,96.111,96.389,95.278,88.333,51.111,46.944,43.889,C
89.444,86.111,72.5,58.889,52.222,48.333,44.444,41.667,37.5,33.056,28.889,82.5,80.278,72.778,65.556,60.278,57.222,53.333,51.111,47.222,40.278,33.611,81.111,80.833,76.944,73.889,73.056,93.333,95.278,95.278,94.722,90.278,52.778,93.333,82.778,81.667,80.833,85,97.5,97.222,96.389,96.389,94.722,89.167,90.278,83.611,84.444,84.722,88.889,95.833,96.111,95.833,96.667,96.111,93.889,80.278,92.778,85.833,87.5,90.833,93.611,95.556,96.389,95.278,94.722,93.611,43.333,88.056,86.389,88.889,91.389,92.778,95,96.111,94.722,94.444,93.056,36.389,48.056,90.278,88.611,91.111,92.5,93.889,95.833,95.556,94.722,91.944,32.222,37.222,51.667,91.389,91.111,93.056,95.556,96.111,95.833,93.611,74.722,D
34.444,57.5,91.944,95.833,96.389,96.944,96.667,95.278,92.222,63.889,46.667,49.722,92.222,95.556,97.222,97.778,97.778,97.778,97.778,97.222,95.556,92.222,52.222,92.222,95.556,97.222,97.778,97.778,97.778,97.778,97.222,96.667,95,52.778,92.222,95.556,97.222,97.778,97.5,97.778,97.5,96.667,95.278,89.167,53.889,70.556,90.556,95.556,96.111,96.667,96.667,95.556,93.333,65.833,58.056,57.222,70.278,79.444,92.5,94.722,94.167,89.167,76.111,68.056,60.278,53.333,69.722,93.889,95.556,96.667,96.667,95.556,93.333,82.222,69.722,57.778,49.722,93.333,95.833,97.222,97.222,97.222,97.222,96.111,95,86.667,55,44.722,91.944,95.833,96.944,97.5,97.222,97.5,97.222,95.556,92.222,52.5,37.5,E
36.111,53.056,91.111,95,95.833,95.278,93.333,67.5,47.5,36.389,32.778,59.722,92.222,95.278,96.111,96.111,96.111,96.667,95.556,92.778,59.444,36.667,84.722,93.889,96.111,96.389,95.833,95.833,96.111,95.833,93.333,79.167,45.278,92.5,95.556,96.111,97.222,96.111,96.944,96.389,95.556,93.333,79.444,51.667,91.667,94.722,95,95.833,95.278,95.833,93.611,90,88.056,78.611,55.833,91.111,94.722,95.278,95,95.278,95.278,93.611,87.222,82.222,72.778,63.611,92.222,94.722,96.111,95.556,96.111,96.389,94.444,85,82.222,79.722,88.333,89.722,95,96.389,95.833,96.944,96.389,96.389,96.667,89.167,90,91.389,80,93.611,96.389,96.389,96.667,96.389,96.667,96.389,94.167,86.389,41.389,F
88.056,65.833,58.611,55.833,56.111,63.889,90.833,54.722,37.778,32.778,29.444,91.389,73.611,69.722,68.333,69.722,95,91.667,59.444,49.444,42.222,36.111,92.778,78.333,76.667,76.111,78.889,95,91.667,62.5,55.556,48.611,41.944,91.389,80.556,80,81.111,83.056,93.056,91.389,66.389,61.389,54.722,47.5,90,83.056,82.778,84.167,85.278,91.111,92.5,70,67.778,63.611,58.056,80.556,94.167,85.833,86.667,88.333,94.722,95,74.722,73.056,74.167,94.167,81.111,94.444,96.667,88.889,90.278,91.111,97.222,97.222,96.111,96.111,95,45.833,89.722,95.278,89.722,90.833,91.944,96.667,97.222,96.667,95,89.167,35.278,75.556,94.167,96.389,96.944,97.222,96.944,96.944,95.278,86.944,43.889,G
33.889,40.833,50.833,90.833,95.278,96.389,96.389,96.111,94.722,85.556,41.111,45.278,78.056,94.444,96.667,97.5,97.222,97.5,96.944,96.111,93.889,75.278,90.278,95.556,96.667,97.222,97.778,97.222,97.222,97.5,96.111,94.444,89.167,93.333,96.111,96.667,97.5,96.667,97.5,96.944,96.944,74.722,82.778,93.056,92.778,95.278,96.667,96.667,97.222,68.611,67.5,69.444,70.833,80.833,93.056,44.722,49.722,53.889,55.833,58.333,59.722,61.667,64.722,67.5,70.556,90.556,36.944,41.944,46.389,48.889,52.222,54.444,56.389,60,63.889,68.056,88.889,31.389,36.944,41.111,43.333,46.667,48.889,51.111,54.167,59.167,65.556,86.667,28.611,32.778,36.389,38.611,41.389,43.611,45.556,48.333,51.944,61.111,86.667,H
86.667,66.389,56.389,51.111,47.778,46.111,44.167,41.667,39.444,36.667,31.944,85.833,68.611,63.333,58.333,54.722,52.778,50.556,47.778,45.278,42.5,37.222,87.778,71.111,68.056,64.167,61.389,59.444,57.5,55.556,53.889,51.944,47.5,93.333,94.722,94.167,79.444,76.389,74.167,71.389,70.278,81.944,96.389,95,92.222,93.611,92.5,79.167,74.444,70.833,66.667,62.778,59.722,56.111,51.944,91.944,94.444,93.889,89.722,74.444,68.056,63.333,57.222,54.167,49.722,43.611,92.222,95,95,92.5,80.833,65.556,57.778,51.944,48.333,44.444,39.167,89.167,94.722,95.278,93.889,88.889,61.667,51.667,47.5,43.333,39.444,36.111,60.833,92.222,94.722,94.167,88.889,50.278,45.278,42.222,38.333,35.556,32.778,I
85.556,79.167,78.333,77.778,95.278,94.722,90.833,55.278,42.5,36.667,32.778,68.889,70.278,72.222,74.444,78.056,81.944,83.333,89.167,88.611,51.389,38.889,56.667,64.167,67.5,71.667,78.611,82.5,86.111,87.222,88.056,89.722,73.333,50,57.222,62.222,71.111,80.833,85,87.5,89.167,90.556,90,87.778,47.222,53.611,59.444,80.833,86.944,88.611,89.722,91.111,91.389,91.667,89.722,47.222,51.944,57.5,86.667,94.167,95,95.556,96.667,95,94.167,92.222,43.889,49.444,56.111,86.667,94.444,95.556,95.556,96.389,96.111,96.389,93.333,40.278,47.5,54.167,65.556,81.389,85.556,88.611,95,95.556,94.167,86.667,35.833,41.944,53.056,66.111,75.833,83.889,92.5,94.444,94.444,89.722,42.778,J
30,34.167,38.889,53.333,87.778,95.278,96.389,96.667,96.389,95,89.722,34.167,41.389,67.5,93.889,96.111,97.222,97.222,97.222,97.222,95.556,92.222,40.278,55.556,91.389,95.556,96.944,97.222,96.944,97.5,97.222,96.667,95.556,51.944,87.778,94.444,96.667,97.222,97.778,97.222,97.778,97.222,96.667,95.278,81.111,93.889,96.111,97.222,97.778,97.778,97.778,97.778,97.222,96.667,95,91.111,95,96.111,97.222,97.778,97.778,97.778,97.778,97.222,96.667,95,90,95,96.667,96.944,97.778,97.5,97.778,97.5,96.944,94.722,89.167,91.389,95.556,96.944,97.222,97.5,97.5,97.5,96.944,96.111,92.222,60.278,90.556,95.556,96.667,97.222,97.222,97.222,97.222,96.667,94.444,80.556,37.5,A
93.333,96.111,96.944,97.222,96.944,96.944,95.833,91.944,55.278,38.333,33.056,85.833,95,96.667,86.944,85,85,84.722,85,91.111,80.556,39.444,56.389,64.167,72.778,76.389,78.889,81.111,83.889,85,85,89.444,68.889,51.111,58.889,65.278,70,75.833,80,82.778,85.556,86.667,86.944,87.778,49.444,56.667,63.889,70.278,75.556,79.722,82.222,87.778,90,90.833,89.722,49.167,56.111,64.722,73.333,79.167,84.722,93.889,96.111,96.389,96.111,94.722,46.667,54.722,72.778,80.278,94.722,96.111,96.389,96.944,96.944,96.667,94.722,41.389,60,91.389,95.278,96.389,97.222,96.944,97.222,96.389,96.389,93.611,35.556,63.889,93.333,96.111,96.667,97.5,96.389,96.111,93.611,63.611,51.667,B
40.278,86.667,93.889,94.444,92.222,60.278,41.111,38.056,35.278,32.5,30.278,44.722,88.889,93.889,95.278,94.444,89.167,50.556,43.611,39.722,36.111,33.333,48.889,88.611,94.444,95.556,91.389,91.667,67.778,50,44.722,40,36.389,49.722,64.167,83.889,83.611,81.111,81.389,63.056,54.167,49.722,44.167,40,51.111,60,68.056,73.889,84.444,79.444,65,58.611,53.889,48.611,43.333,52.222,60.556,66.389,76.111,87.5,72.5,68.056,63.611,58.889,54.444,48.889,54.444,61.944,73.333,88.889,79.444,75,71.667,68.056,64.722,61.667,56.944,61.389,76.389,92.5,84.167,82.778,90.556,96.944,97.222,96.944,96.111,95.278,91.389,95,95.278,89.167,68.056,64.167,51.111,49.722,48.333,46.667,43.333,C
