attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,class
97.222,98.333,98.333,96.944,39.444,97.778,98.889,98.889,98.889,96.111,97.222,97.778,99.444,98.889,97.5,94.444,97.5,98.889,98.889,97.778,38.611,97.778,98.333,98.611,97.778,A
96.667,59.167,48.333,41.944,35.278,65,87.222,97.5,95.278,43.611,60,74.167,82.222,87.778,95.278,63.056,82.222,87.222,89.167,90,93.889,85.278,98.889,98.889,97.5,B
97.778,89.722,89.444,95.833,38.889,68.889,80.278,84.722,93.056,46.944,66.111,76.667,94.167,66.389,52.222,71.667,95.556,78.611,68.611,57.222,91.111,84.167,79.167,72.222,65,C
66.667,60.556,61.389,96.944,83.889,92.5,70.556,72.5,95.556,95.556,45.278,77.778,82.778,87.5,93.611,38.056,60.833,85,86.667,89.444,32.778,38.333,93.333,88.056,90.556,D
66.667,96.944,98.333,97.778,84.444,92.778,98.333,98.333,98.889,97.778,65.556,97.778,98.333,98.056,71.944,97.222,98.889,98.611,98.056,78.056,98.333,98.889,98.889,98.333,87.778,E
41.944,97.5,98.611,76.389,97.778,96.111,98.889,97.778,98.333,68.056,97.778,98.333,98.889,96.389,68.056,98.333,96.667,99.167,96.389,78.611,97.778,98.611,98.889,96.944,94.444,F
44.444,52.778,66.944,58.333,42.222,67.5,65.278,74.167,61.944,50,85.833,77.222,80.833,69.444,59.722,96.111,85.278,84.444,93.333,97.5,80.556,88.889,88.056,91.389,96.667,G
97.778,98.889,98.889,98.889,96.111,98.333,98.889,99.444,98.889,97.778,50,60.556,68.611,80.278,96.389,41.111,50.278,59.722,92.222,95.556,35.278,41.389,49.722,95,58.611,H
93.889,57.222,50.278,45.278,38.056,92.5,66.944,60.833,57.778,50,94.167,76.111,68.333,64.167,60,94.444,74.167,60.556,53.333,44.444,95,92.778,50,43.611,36.389,I
66.944,96.944,95.278,44.722,35.833,56.667,66.389,72.778,96.667,55.833,50.833,60.833,70.556,79.167,84.167,46.111,59.167,82.222,91.944,89.167,39.444,61.111,97.5,97.778,97.778,J
72.778,98.333,98.333,98.889,96.389,97.222,98.889,98.889,98.889,98.333,97.5,98.889,99.444,98.889,97.778,97.778,98.889,99.444,98.889,97.778,97.778,98.889,98.889,98.333,90.556,A
78.611,79.167,61.667,47.222,41.389,66.944,76.944,83.889,65.833,59.444,60.556,78.333,96.944,96.667,64.722,80,98.333,98.056,98.056,53.611,83.056,96.944,97.222,97.222,41.944,B
97.222,92.222,97.222,43.611,35,92.222,85.556,86.389,53.889,41.944,66.111,78.056,92.778,61.389,48.889,59.167,75.833,91.944,69.722,61.111,64.444,97.778,98.333,98.333,57.222,C
82.5,64.722,56.944,47.222,35.556,83.611,79.444,98.889,97.778,96.111,86.667,87.778,98.333,97.778,97.222,93.889,90.833,95.833,98.056,97.222,40,96.667,95.556,97.5,95.833,D
96.111,98.889,98.333,98.889,97.5,96.111,98.889,98.889,98.889,97.778,70.556,97.5,98.056,81.111,61.389,97.222,98.333,97.778,78.889,54.722,98.333,98.889,98.889,97.778,46.111,E
95.278,98.333,97.778,97.778,38.889,96.944,98.889,98.889,97.222,55.556,98.333,97.222,97.778,89.444,63.056,98.333,98.056,99.444,86.111,81.944,96.389,98.889,97.5,97.778,94.722,F
73.889,67.5,97.778,54.167,38.056,81.944,80.278,97.778,62.5,48.889,85.833,86.944,96.667,70.833,64.722,97.222,90.556,94.167,98.889,97.778,93.889,98.333,98.333,98.333,95,G
76.667,98.333,98.333,98.333,94.444,98.333,98.889,98.333,97.778,97.222,97.5,97.778,67.222,70,95.556,43.889,50,56.389,62.5,86.389,35.556,41.111,47.222,52.5,82.778,H
69.167,57.5,51.667,46.111,39.722,98.333,98.889,99.167,98.889,97.778,96.667,79.444,70.556,61.944,53.611,97.778,95.556,64.444,51.111,43.889,96.944,97.222,51.389,42.778,36.389,I
75.833,76.389,84.167,95.556,40.556,62.222,73.611,84.444,90.278,91.111,54.722,93.889,98.333,93.611,93.611,50.556,94.444,98.056,98.333,97.5,44.722,66.944,88.333,97.222,88.611,J
39.444,96.667,98.333,98.333,97.778,83.889,97.778,98.889,98.889,98.333,96.667,98.889,98.889,98.889,97.778,97.222,98.889,98.889,98.889,96.389,97.778,98.889,98.889,98.333,56.667,A
98.333,90,88.056,98.056,42.778,63.056,75,82.222,86.667,92.778,58.056,71.944,81.944,91.944,92.5,56.389,93.333,98.611,98.333,98.056,81.111,98.333,98.611,98.333,61.111,B
93.333,97.222,90.833,41.667,35.278,92.222,95.278,91.389,51.389,40.833,61.389,74.722,74.167,58.889,49.167,63.056,93.333,75,67.5,59.444,97.222,97.222,96.667,52.222,49.444,C
67.222,62.222,76.389,97.778,96.111,80,75.278,99.444,97.778,97.5,97.5,82.5,92.778,98.889,97.778,95.833,86.111,89.722,98.333,97.222,81.111,98.333,98.333,98.333,95,D
73.889,86.111,98.056,98.333,98.333,65.278,97.778,98.333,98.056,67.778,66.944,96.389,97.222,76.944,59.722,97.5,98.889,98.611,98.333,73.889,98.333,98.889,98.889,96.667,47.222,E
98.333,98.889,98.889,97.5,83.889,97.778,98.333,96.111,86.389,76.944,97.5,97.778,90.278,85,76.111,96.667,97.778,90.278,89.722,98.056,93.889,98.333,98.333,98.333,47.5,F
73.056,64.722,66.944,90,39.167,80.278,76.667,81.389,70.556,50.278,83.889,83.056,96.389,94.722,72.5,93.333,87.222,98.333,98.889,97.222,42.5,97.778,95.278,97.5,96.667,G
97.5,98.056,98.889,96.944,86.667,96.111,98.333,97.222,73.611,86.667,43.889,51.389,58.889,66.111,87.5,37.222,45.278,51.667,60.833,58.056,32.5,38.611,43.333,51.111,59.722,H
94.167,62.778,54.444,49.167,41.944,93.056,95.278,64.444,61.111,96.667,93.333,96.667,72.5,64.167,54.722,92.222,96.667,73.333,52.5,42.5,80.278,96.667,56.111,43.611,35.833,I
51.111,93.056,50,41.944,35.556,54.444,68.333,80.278,94.167,42.5,58.611,73.611,82.222,87.778,95.278,96.667,83.333,81.389,98.056,93.611,97.5,70,72.222,98.333,94.444,J
43.056,97.222,98.056,98.889,97.5,96.667,97.778,98.889,98.889,98.333,97.222,97.778,99.444,97.778,96.944,97.778,98.889,98.333,97.778,95.556,98.056,98.333,98.889,96.111,40.556,A
97.778,96.667,46.944,41.111,35.278,81.389,81.944,97.222,51.111,41.389,67.222,81.389,91.111,69.444,53.333,64.444,97.222,98.333,73.611,60.278,92.778,97.778,95.556,52.222,41.667,B
75,78.611,90.278,37.778,32.778,65.278,77.5,82.222,46.667,37.778,64.722,83.333,69.444,55.278,44.722,93.333,80.556,70,61.111,50,36.111,47.5,96.667,89.167,59.444,C
54.444,56.944,72.222,97.222,94.444,78.889,71.944,79.444,97.778,97.222,82.222,79.444,84.167,98.889,96.944,41.389,61.944,86.667,91.389,96.667,35,40.833,91.944,97.778,93.333,D
93.889,98.333,98.889,98.889,98.333,98.333,98.889,98.889,98.889,95.833,97.778,98.333,97.778,80.278,64.444,90.833,98.056,98.333,97.222,66.944,97.222,98.889,98.889,98.889,97.222,E
96.111,98.333,97.222,48.611,34.722,98.056,98.333,98.889,97.222,42.5,97.778,95.556,84.722,73.889,56.111,97.778,95.833,83.056,75.278,65,94.167,97.778,98.889,83.333,97.778,F
91.944,61.389,56.389,53.889,41.111,96.667,72.5,70.556,98.889,96.111,67.778,97.222,80.833,97.222,70.278,40.833,96.389,85.833,96.944,74.167,34.167,42.778,97.222,98.333,97.778,G
98.333,97.778,98.333,90.556,46.389,56.111,86.111,96.667,94.167,67.222,42.5,51.944,60,88.889,58.611,36.111,43.889,51.111,87.5,58.333,31.111,35.833,41.944,71.389,62.778,H
96.667,61.389,55.556,52.5,48.333,75.556,98.333,98.889,97.5,65,60,96.944,97.778,71.667,51.944,52.5,96.667,97.222,89.444,44.722,44.444,96.111,97.778,55.556,35.833,I
36.667,47.5,95.278,97.222,55,43.889,56.389,70.556,82.778,94.444,51.111,63.333,75,81.667,87.222,96.389,85,98.611,89.722,92.5,98.333,65.556,66.667,98.889,96.111,J
92.778,98.333,98.333,98.333,93.889,97.222,98.889,99.167,97.778,97.778,97.5,97.778,99.444,97.778,97.778,97.778,97.778,98.333,97.778,96.389,96.389,98.611,98.056,97.778,44.167,A
86.944,96.111,45.833,40,34.444,75,83.333,95.278,48.056,40,69.167,97.222,97.778,95.278,49.444,93.889,97.778,98.889,98.889,97.778,81.111,97.778,97.778,61.111,46.111,B
93.889,65.556,96.111,41.111,32.222,69.167,85.278,90.556,52.778,40,74.444,93.056,69.167,58.056,47.222,63.889,95,71.944,63.056,53.889,41.944,49.167,94.167,69.722,64.167,C
41.111,48.333,53.611,95.278,95.833,76.389,63.333,68.611,97.5,97.222,96.944,76.111,79.167,88.611,96.389,80,84.444,84.722,88.611,91.111,37.778,50.556,98.333,89.444,91.389,D
97.222,98.333,97.778,91.111,39.722,96.667,98.333,96.667,63.889,48.333,75,97.5,96.944,66.389,54.444,98.056,98.889,98.889,98.333,92.5,96.944,98.056,98.889,98.889,98.333,E
96.111,98.889,98.333,98.333,94.444,98.333,98.333,98.333,96.667,94.444,97.222,98.333,97.222,86.389,65.833,96.389,98.333,97.5,83.056,75.833,58.611,96.389,97.222,98.333,88.889,F
42.778,56.944,96.667,65.833,68.056,59.444,68.056,93.889,97.778,97.778,78.333,76.667,82.778,90.556,95.833,93.889,83.056,84.167,89.444,93.333,40,96.389,88.056,89.167,95,G
76.667,98.333,98.333,98.889,96.111,97.778,98.333,98.333,75.556,96.667,53.056,59.167,61.667,67.222,94.444,41.111,48.611,52.778,59.444,93.333,33.889,39.167,43.889,50,82.5,H
96.667,60.556,52.778,47.778,40.833,81.111,69.167,62.5,59.167,55.278,80.556,97.778,96.111,67.5,54.722,93.889,97.5,96.667,53.056,42.5,93.333,97.222,72.778,41.667,35.556,I
34.722,44.167,89.167,94.444,43.056,42.778,53.333,69.444,89.722,50.556,51.667,95.278,79.444,84.722,94.722,96.667,98.333,99.444,90.556,90.833,97.5,93.611,96.111,95.556,94.722,J
47.5,96.389,98.056,96.944,93.889,96.944,97.778,98.611,98.889,97.778,97.778,97.778,99.167,97.778,97.222,97.778,98.889,98.889,96.667,50.556,96.944,98.333,95.556,45,36.667,A
95.833,96.667,44.722,39.167,33.333,56.944,72.778,94.444,47.5,39.444,50.556,94.444,97.222,65,48.889,44.444,94.444,98.333,95.833,69.444,36.944,87.222,97.222,90.556,46.389,B
35.278,44.444,94.722,96.667,93.611,44.444,56.389,77.222,89.444,89.444,93.889,72.222,78.889,84.722,60.278,97.5,96.111,88.056,73.889,62.778,44.444,52.222,89.167,76.111,68.056,C
83.889,70.278,55.833,45,35.833,81.389,74.444,67.222,60.278,52.778,83.889,81.667,87.778,97.778,97.222,96.667,87.222,92.778,98.889,97.5,50.833,98.056,93.611,98.333,96.111,D
97.222,97.5,98.889,97.778,97.222,98.333,98.056,98.611,97.5,96.944,64.167,94.167,98.056,96.389,68.889,47.778,87.778,97.222,97.778,96.667,36.389,88.889,96.944,98.056,96.667,E
93.333,98.333,98.889,98.889,97.778,96.667,98.889,98.889,96.944,77.222,98.333,97.778,98.333,94.444,67.778,98.333,97.778,98.333,90,68.056,95.833,98.889,98.889,98.889,97.222,F
95.278,63.611,60.833,97.222,39.444,95,75.833,83.056,98.056,58.333,90.278,83.333,88.611,98.889,96.389,80.833,87.5,91.111,98.889,97.222,35.833,95.278,91.389,97.778,95.278,G
72.222,98.333,98.333,98.889,97.778,97.222,98.611,99.444,98.889,97.778,97.778,98.056,99.444,75,78.611,44.167,53.889,60.556,67.5,87.778,35.833,41.667,47.5,57.778,83.889,H
96.667,61.111,51.389,45.556,38.333,96.667,69.722,62.222,57.5,51.944,81.389,98.056,98.333,97.5,64.444,93.889,97.778,97.778,91.111,45.278,93.333,97.778,96.667,45,36.944,I
41.667,50.278,54.722,62.222,95.278,97.778,98.333,99.444,74.167,91.667,74.167,81.944,85.556,87.5,91.667,68.333,78.333,83.889,66.667,37.778,70.556,91.389,43.889,37.222,32.778,J
45,97.778,98.889,98.889,98.333,94.444,97.778,98.889,98.889,97.778,96.944,98.333,98.889,98.889,97.222,97.5,98.889,98.889,98.333,90.278,96.111,98.333,97.778,56.667,37.778,A
55.556,88.333,90.833,41.111,35,57.5,70.278,80,91.389,41.111,61.389,77.778,97.778,97.778,87.778,97.222,98.889,98.056,98.889,97.222,97.222,98.056,99.444,98.889,97.778,B
39.444,84.444,97.222,96.111,44.722,50.278,75.556,91.944,93.333,49.722,81.111,76.111,86.389,80.278,54.167,97.222,96.389,88.889,70.833,58.889,47.778,56.944,91.944,75.278,68.056,C
91.944,74.444,61.667,53.056,39.167,86.389,82.222,90.556,97.778,97.222,88.889,88.333,94.167,97.778,97.778,97.5,91.389,95.556,97.778,97.5,93.889,98.333,95.278,98.333,95.278,D
93.333,98.333,98.889,98.889,98.056,97.778,98.333,98.889,96.944,74.167,95.556,98.611,98.333,98.056,80.556,97.778,98.889,98.889,97.778,97.222,84.444,98.333,98.333,98.889,96.667,E
42.778,96.944,98.889,98.889,98.333,95.833,98.889,98.889,98.889,97.222,98.333,98.333,98.333,83.889,70.278,97.222,98.333,96.111,78.889,67.778,87.778,98.333,98.889,98.889,97.778,F
96.389,66.389,64.167,97.778,48.889,93.889,75.833,77.5,97.222,57.222,93.889,83.611,85.278,98.889,97.222,46.667,86.111,89.722,96.111,96.667,36.667,95.278,90.556,97.5,95.278,G
98.333,98.056,99.167,95.556,84.444,97.222,97.778,99.444,74.167,79.444,46.389,53.889,60.556,67.778,90.278,39.167,46.944,53.333,62.5,85.556,33.333,39.444,45,55,82.222,H
88.611,59.167,51.111,47.5,41.944,92.778,92.5,99.444,98.333,97.778,96.667,68.889,62.222,56.944,49.722,96.111,62.5,54.444,45.556,39.722,96.111,52.778,45.556,40,33.611,I
31.667,43.333,53.056,66.389,96.667,81.111,98.333,97.778,80.278,96.667,64.722,81.944,86.667,96.389,96.111,61.667,75.556,94.444,48.889,39.167,75.556,83.333,44.722,39.722,31.667,J
97.222,98.889,98.889,98.333,83.889,97.778,98.056,98.889,98.889,97.222,97.778,97.778,99.444,98.889,97.778,97.778,98.889,98.611,98.889,96.389,97.5,98.333,98.333,97.222,41.111,A
98.333,92.778,98.889,96.944,42.5,65.833,79.167,88.611,96.667,97.222,56.111,95,98.333,98.333,98.333,52.778,97.778,98.056,98.889,97.778,42.5,97.778,98.333,97.778,44.167,B
67.5,75,79.167,94.167,53.889,57.222,68.611,75.556,80.556,91.389,52.778,66.389,75,85,60.833,50.278,68.611,82.222,77.222,63.333,42.778,96.667,86.389,80.556,76.389,C
93.611,70.556,54.722,44.444,35.556,81.944,75,68.056,66.111,45.556,84.444,81.667,84.167,97.778,97.222,86.667,86.111,93.056,97.778,97.778,95.556,98.611,93.889,98.889,96.389,D
96.667,98.889,98.333,95.556,98.333,97.222,98.333,98.333,96.944,63.611,81.389,96.944,93.611,73.611,59.167,98.056,98.611,98.889,97.5,59.167,97.778,98.889,98.889,97.778,44.722,E
98.333,97.5,98.333,54.167,39.722,97.778,97.5,98.333,97.5,97.222,96.111,97.222,96.667,75,66.389,55.833,96.111,97.778,74.167,60,43.889,49.167,96.667,90.556,59.167,F
73.333,68.056,78.611,60.278,46.389,80.833,79.444,83.889,70.833,62.222,85.833,84.722,88.333,80,82.222,88.611,89.444,89.444,97.778,97.222,95,90.556,89.722,94.444,43.889,G
76.111,98.333,97.778,98.889,95.556,98.333,98.889,99.444,97.778,97.778,97.778,98.889,99.167,98.889,97.5,44.444,54.444,61.389,70.833,93.333,35.833,43.611,50.556,73.056,46.944,H
93.889,59.167,52.778,48.611,41.944,93.611,67.5,62.222,60.278,97.222,95.833,98.056,74.167,64.722,53.333,97.222,96.944,68.056,49.722,41.944,97.778,96.389,47.5,40.556,35,I
38.889,48.611,54.444,61.667,87.778,94.444,98.056,97.778,85.833,96.667,64.167,78.056,83.611,86.389,46.667,61.667,73.611,80.556,62.778,36.389,64.444,89.444,42.222,35.556,31.667,J
43.611,97.5,98.333,97.778,84.444,96.667,97.778,98.056,98.333,97.222,97.222,97.5,99.444,97.778,97.222,97.222,97.778,99.444,97.778,97.222,96.389,98.889,97.5,97.778,88.889,A
95.833,96.667,47.778,40.833,34.722,62.778,76.389,96.944,61.944,41.389,62.5,76.944,88.056,97.778,95.278,95,98.611,98.889,98.889,98.056,97.222,98.889,98.333,98.333,88.889,B
36.944,47.5,94.444,93.056,43.333,44.722,57.5,72.5,86.111,52.778,60.278,67.222,75.278,81.667,58.333,98.333,97.222,83.333,80,68.889,96.944,98.056,96.944,83.889,96.944,C
71.667,56.944,47.778,40.556,33.611,74.167,67.222,63.611,96.111,40.833,80,78.611,98.333,97.5,96.389,83.611,86.111,96.111,97.778,97.778,83.611,89.444,92.778,98.333,96.111,D
96.111,98.333,97.778,94.444,55.278,98.333,98.611,98.889,97.222,70.833,96.389,97.778,93.611,79.722,66.111,56.111,97.778,98.333,98.333,93.056,39.167,97.778,98.056,98.056,96.944,E
96.944,98.333,97.222,73.611,46.944,97.778,97.778,95.833,75.278,65.278,98.333,97.222,99.444,82.5,85.833,97.222,98.056,98.611,97.778,96.111,93.611,98.333,98.333,98.333,88.889,F
65.556,61.389,68.333,61.944,46.944,76.111,72.778,78.889,70.278,63.333,82.5,80.556,83.056,78.611,84.444,93.333,85.556,85.833,97.5,96.389,37.778,96.389,88.056,91.111,89.167,G
95.556,98.889,98.333,98.889,96.111,98.333,98.889,99.444,98.333,97.222,91.389,97.778,98.889,73.056,90.556,39.167,48.056,56.111,63.333,85.833,33.611,38.889,46.111,52.778,92.222,H
68.889,55.556,51.111,46.389,41.111,93.611,76.111,98.333,98.333,98.333,93.333,93.056,72.778,56.389,49.722,92.778,92.778,54.444,47.222,40.556,92.778,92.222,46.667,39.444,33.611,I
37.778,45.556,58.611,83.056,91.111,49.722,96.944,77.5,82.5,87.5,97.222,95.833,99.444,87.778,88.611,97.222,78.056,98.889,92.778,91.111,46.389,86.667,96.111,94.722,96.667,J
46.111,96.389,98.333,97.778,94.444,97.5,98.333,98.333,98.889,97.222,97.222,97.778,99.444,97.778,97.5,97.778,98.889,98.611,97.778,95.556,98.333,98.333,98.333,91.389,38.056,A
93.611,82.222,48.611,40,34.167,65.278,74.167,94.722,50,40.833,54.444,68.889,78.889,84.444,86.111,47.778,69.167,84.444,88.611,90.278,39.167,96.667,97.778,98.333,96.944,B
95.556,96.944,47.5,38.889,33.333,63.333,95.556,58.889,45.556,38.611,64.167,90.278,65,52.778,44.167,95.833,90.556,68.333,60,50.278,96.944,98.056,95.556,67.778,62.222,C
60.833,51.944,48.333,41.111,33.611,68.056,63.611,60.556,61.667,54.444,95.278,72.5,72.778,97.778,97.222,80,78.056,88.889,98.889,97.222,35.556,89.444,90.278,97.5,98.056,D
96.667,98.889,97.778,98.056,87.222,97.5,98.889,98.611,97.222,83.889,74.722,97.5,97.222,79.722,63.333,95.833,98.889,98.333,98.611,93.333,93.611,98.056,98.333,98.889,97.222,E
95.556,98.333,98.056,95.556,42.5,97.222,97.778,92.778,74.722,54.444,97.5,98.333,98.333,78.611,75,98.056,98.611,99.444,97.778,97.5,93.889,98.333,98.056,98.889,96.111,F
42.222,50.556,63.056,60,43.056,57.778,63.611,71.111,67.222,53.889,98.056,78.611,80.833,76.389,97.222,93.333,87.5,86.667,97.778,97.222,46.667,96.667,88.611,97.5,95,G
97.778,98.889,98.889,98.333,94.444,98.333,98.889,98.333,84.444,96.111,97.222,97.778,70,73.889,95.833,44.167,52.5,60.556,68.056,92.5,36.111,43.056,50.556,61.667,94.444,H
62.778,53.056,47.5,43.056,37.222,87.778,64.444,58.056,54.722,49.167,93.333,95.556,72.222,62.5,55.278,92.222,96.389,73.889,50.278,42.222,93.056,94.722,46.944,40.833,35.833,I
35,41.389,48.056,60.556,81.389,42.5,51.389,60.556,67.222,76.111,96.944,97.222,78.611,75.833,80,97.5,77.5,89.444,82.778,83.333,44.444,63.056,90,88.056,96.667,J
53.056,96.111,97.778,94.722,40.278,96.389,98.889,98.333,98.333,94.444,97.778,97.778,99.444,97.778,97.778,97.778,98.889,98.889,97.778,97.222,96.111,98.889,98.333,98.333,89.444,A
83.333,73.333,48.056,40.833,33.889,59.167,75.833,96.389,50.833,41.389,59.722,71.667,80,90.556,63.056,65.833,74.722,81.389,85.278,93.056,98.333,98.889,98.889,98.889,96.944,B
96.389,98.611,98.333,97.778,38.333,67.222,85.556,91.667,93.056,93.889,78.611,96.667,98.056,97.5,64.444,95.556,97.778,95.556,78.611,64.722,40,46.944,52.222,97.222,96.944,C
61.111,53.056,49.722,42.5,34.722,71.667,65,62.5,97.222,94.444,76.944,74.167,97.222,97.5,97.5,85.833,83.056,95,98.333,97.5,35.278,93.889,92.5,97.222,96.667,D
97.222,98.889,98.056,98.889,97.222,97.778,98.889,98.889,97.222,94.444,70.278,97.5,97.222,96.667,65.556,81.111,98.333,98.333,98.611,76.667,83.611,97.222,98.889,98.889,97.5,E
41.667,94.444,98.333,98.333,97.778,95.833,98.889,97.778,98.333,93.889,98.333,98.056,98.333,94.444,66.944,97.5,98.056,97.222,83.056,75.556,97.778,98.889,99.167,98.333,97.778,F
42.5,88.333,71.944,46.667,38.056,49.722,65.278,91.944,58.889,48.333,56.389,68.611,82.222,98.333,97.778,69.167,74.444,97.222,98.056,97.5,97.5,86.667,88.056,92.778,94.167,G
97.778,98.889,98.611,98.056,47.5,98.333,98.889,98.889,97.222,94.444,97.778,98.889,98.333,75.833,96.944,50.833,55.833,61.111,66.389,94.444,36.389,43.611,50.556,57.222,85,H
63.056,53.889,49.167,42.778,36.111,71.111,66.389,57.5,56.111,53.056,95.556,90,72.778,66.389,67.222,86.111,89.722,66.667,56.944,47.778,45.556,91.389,55.278,46.389,38.333,I
37.222,45.278,54.167,64.444,81.111,95.278,98.333,98.333,80.556,82.778,97.222,98.056,88.333,88.333,86.944,57.222,73.333,93.056,91.667,88.889,44.722,74.167,97.222,93.333,90.556,J
44.722,96.667,97.778,98.333,96.667,93.333,97.222,98.333,98.889,97.778,97.5,97.778,99.444,97.778,97.222,97.778,98.889,98.333,97.778,95.833,97.778,98.333,98.611,96.111,40,A
43.611,88.333,85.278,72.5,44.722,49.722,63.056,94.167,68.611,53.056,53.611,65,74.167,94.444,63.611,59.722,68.056,76.111,80.833,89.722,98.333,98.889,99.167,98.889,97.778,B
80.556,81.944,95,38.333,32.222,66.111,75.278,81.389,88.889,39.167,65,73.889,80,79.444,46.111,68.889,76.389,87.222,68.056,53.333,98.333,98.889,98.889,98.333,85.556,C
72.778,89.444,85.833,79.722,70,92.778,92.778,95,92.222,67.5,97.222,98.889,98.889,97.778,96.389,97.5,98.056,99.444,98.333,97.778,93.611,98.333,98.333,98.333,88.889,D
95.556,98.889,97.778,98.889,96.111,97.778,98.889,98.889,97.778,95.833,95.556,98.056,97.778,94.167,65.833,97.222,98.889,98.333,98.333,73.611,96.944,97.778,99.444,98.889,97.778,E
42.778,96.389,98.333,98.333,97.778,95.833,98.889,97.778,98.333,93.889,98.333,97.5,98.889,95.556,65,97.222,97.222,96.667,79.722,71.111,97.5,98.889,98.611,98.889,97.5,F
35.556,42.5,55.833,61.944,45,40.556,50.278,61.111,70.556,58.889,48.611,58.611,67.778,78.889,96.667,60.556,66.111,71.111,96.389,96.944,96.944,75.556,76.944,85.556,87.222,G
72.222,98.333,98.889,98.889,97.778,98.333,98.889,99.444,97.778,97.778,56.111,61.389,67.222,72.222,88.611,41.389,49.722,57.778,67.5,92.222,34.722,41.667,47.778,62.222,93.333,H
69.167,57.222,51.111,45,38.889,76.667,94.444,60.833,57.778,56.944,88.611,94.444,72.5,64.444,58.611,93.333,95.556,66.389,53.333,45.278,95.556,97.222,53.611,44.444,37.222,I
34.167,42.778,87.778,67.778,59.722,41.944,54.444,87.778,61.667,50.833,59.722,66.944,78.056,57.222,45,96.389,97.778,82.778,51.944,39.722,81.111,96.389,96.944,39.722,32.222,J
35.833,45,97.222,98.333,96.111,45.833,96.944,98.889,98.611,97.222,96.389,97.778,98.889,98.333,97.778,97.5,97.778,99.444,97.778,97.222,97.778,98.889,98.889,97.222,94.444,A
98.333,86.667,86.944,96.667,41.944,68.333,78.611,83.611,87.222,95.556,63.056,74.167,83.889,87.778,90,66.111,96.389,98.611,98.611,98.056,96.389,98.889,97.778,98.333,94.722,B
93.333,97.222,58.056,41.111,33.333,63.056,82.5,96.944,95.278,38.611,67.222,80,86.389,89.722,74.167,97.778,98.333,97.222,79.722,62.222,43.333,49.167,51.944,78.889,95.278,C
44.444,92.222,78.611,60.833,42.222,94.444,85.556,80.278,70,51.944,90,88.889,98.889,97.778,97.222,92.222,95.278,99.444,98.333,98.056,93.889,97.5,97.778,98.889,96.111,D
93.333,97.778,97.778,89.722,48.889,93.889,98.333,98.333,98.333,88.333,96.667,81.389,69.167,60.833,50.278,97.778,97.222,66.111,51.944,42.5,97.222,97.5,69.444,42.222,35.556,E
44.444,97.222,97.778,93.056,51.111,96.111,97.222,76.111,67.222,52.778,96.667,96.667,74.722,66.111,54.722,96.667,96.667,95,67.5,58.056,95.278,98.889,96.944,97.222,85,F
45,62.778,96.111,61.389,51.944,60.556,70.833,87.778,76.667,97.222,90,81.389,85.833,97.778,96.111,91.667,88.611,88.611,93.611,55.278,81.111,91.111,90.556,95.833,36.944,G
