attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,class
97.5,99.167,97.778,47.778,58.611,72.778,36.667,46.944,88.889,H
71.389,58.889,51.944,96.389,71.389,57.5,96.389,62.222,41.667,I
61.667,95,42.222,67.5,83.056,93.889,98.333,76.667,97.5,J
96.944,98.889,98.333,98.333,99.444,97.778,98.889,98.889,96.944,A
86.389,94.167,41.389,73.611,91.944,58.611,96.944,97.222,52.778,B
75.833,91.389,37.5,74.167,68.611,48.333,79.167,72.222,59.167,C
64.167,81.111,97.5,96.389,84.167,97.778,41.111,97.5,92.5,D
98.889,98.889,98.333,97.778,97.5,70.278,98.333,98.333,97.778,E
98.056,96.944,45.556,97.222,84.167,64.167,97.5,83.333,74.722,F
70.556,65,97.222,96.667,81.389,78.333,43.056,98.056,98.333,G
98.056,98.611,85,48.889,60.278,64.167,38.056,46.389,65.278,H
97.222,61.944,98.611,76.944,97.5,57.5,65.833,97.222,45.278,I
45.833,73.889,92.778,58.333,75.833,84.444,93.611,74.722,91.667,J
97.222,97.778,97.778,98.333,99.444,98.333,97.778,98.889,96.944,A
80.833,94.167,40.278,95,97.778,58.889,95.833,97.778,56.389,B
96.389,95.556,41.389,80.833,68.889,52.5,52.5,76.667,63.056,C
53.889,61.667,97.222,79.167,79.722,92.778,72.222,86.667,91.111,D
97.778,98.333,50.833,96.111,96.944,59.722,98.056,98.889,98.056,E
98.889,98.889,97.222,98.333,97.222,75,98.056,97.5,97.778,F
56.944,97.222,74.722,77.778,82.5,94.444,95.556,86.944,90.556,G
97.778,98.611,81.667,55,61.389,80,40,48.333,59.444,H
92.222,58.056,50.556,96.667,96.111,58.333,97.222,95,40.833,I
45,83.611,54.722,62.778,80.833,88.056,97.778,96.944,91.667,J
97.222,98.333,98.333,98.333,98.889,97.778,98.333,98.333,43.889,A
67.222,60.278,39.167,57.222,97.222,55,45,97.222,60.278,B
46.389,92.5,91.944,76.111,79.722,75.833,63.611,82.222,69.444,C
77.5,61.667,46.944,83.056,89.722,97.778,94.167,93.889,97.778,D
98.333,99.444,98.333,71.944,97.778,78.333,50.278,96.667,98.333,E
98.333,98.333,98.056,98.611,98.333,72.778,98.611,98.611,79.167,F
73.333,73.056,94.444,97.5,89.722,97.222,92.222,92.222,98.333,G
98.333,98.889,98.889,98.056,99.444,76.667,43.056,53.611,70.278,H
91.944,56.944,47.5,97.222,98.056,68.889,97.222,97.222,43.611,I
95.556,62.5,75.278,78.889,85.833,95,74.722,66.944,36.944,J
96.667,98.889,98.889,97.778,98.889,97.778,98.056,97.778,49.167,A
64.722,95.556,41.111,70.278,97.778,96.944,98.056,99.444,98.333,B
51.944,96.667,87.5,73.611,86.944,61.111,96.944,80.278,68.333,C
82.5,73.889,96.111,88.333,95,98.333,97.222,94.167,97.778,D
98.333,98.889,97.778,98.056,98.333,95,98.333,98.611,98.056,E
96.944,98.889,98.889,98.611,98.333,76.944,97.778,96.944,77.222,F
76.667,72.222,65,84.722,86.111,97.222,91.944,90.278,98.333,G
98.056,99.444,80.556,50.278,60.556,74.167,37.778,49.167,90.556,H
68.333,58.333,51.667,91.944,61.667,52.5,89.444,49.167,38.611,I
52.778,61.111,91.944,75.278,86.389,97.222,71.667,48.611,39.167,J
98.611,98.611,97.778,98.333,99.444,98.333,98.333,98.889,95.556,A
97.222,87.222,93.611,69.722,98.333,98.889,96.111,98.333,97.778,B
65.833,77.222,82.5,60.278,75.556,89.167,66.389,86.111,74.167,C
78.889,61.944,44.722,83.611,86.944,97.778,88.056,93.889,97.778,D
98.333,97.778,96.944,96.389,93.611,66.111,98.889,98.889,96.667,E
97.778,98.889,96.111,96.667,96.667,70.833,60,97.5,67.222,F
75.833,88.889,59.444,84.722,89.722,80.278,88.333,88.333,96.389,G
98.333,99.167,98.056,98.056,99.167,83.333,44.444,56.389,92.222,H
68.889,57.778,51.389,97.5,73.611,56.667,98.056,54.722,40.278,I
60,64.722,73.056,73.333,83.611,90.833,69.444,90.278,36.111,J
97.778,98.333,98.333,98.333,99.444,98.333,98.056,98.056,97.778,A
80.278,77.222,41.389,70.833,89.167,97.5,98.333,98.333,97.222,B
45.833,85.833,90.556,66.944,75.556,69.444,97.222,98.889,76.944,C
68.056,56.389,40.833,79.167,98.333,97.778,87.222,93.333,97.5,D
98.889,99.167,98.056,97.778,93.611,72.222,95.278,97.778,98.333,E
98.333,90.556,62.5,98.056,99.444,82.5,97.222,96.944,96.944,F
67.222,73.333,59.722,80.556,83.056,79.444,95.278,86.944,96.111,G
98.333,99.167,97.778,97.222,98.889,74.444,39.444,50.556,65,H
65,55.556,50.278,87.222,67.778,51.944,92.5,49.722,38.889,I
48.056,66.389,85.833,98.056,96.944,88.333,63.611,95,91.944,J
97.222,98.056,98.333,98.333,99.444,98.056,98.889,98.889,95.556,A
95.833,54.444,41.111,62.222,79.444,93.889,58.056,98.333,94.167,B
95,55.278,38.889,70.833,62.778,48.333,93.611,70.556,60.278,C
61.389,54.722,43.333,73.889,73.333,97.5,93.611,90.556,98.889,D
97.5,98.889,96.944,95.833,96.944,70.556,97.778,98.889,97.5,E
97.778,87.5,59.722,98.333,98.333,76.111,98.056,97.5,97.778,F
53.056,76.667,55.278,85.278,88.333,76.667,90.278,86.667,97.778,G
98.889,98.889,97.778,97.778,69.167,75.833,43.333,55.556,76.389,H
61.389,51.944,44.444,93.333,71.111,56.389,94.722,50.556,40.833,I
43.333,53.889,71.111,97.778,79.167,77.222,60,88.333,84.444,J
97.5,98.333,94.167,98.333,99.444,98.333,98.333,98.333,97.778,A
79.167,54.722,41.111,66.389,80.278,95.278,76.944,83.333,87.222,B
96.667,97.778,97.222,81.944,98.333,82.222,49.444,97.222,79.444,C
61.944,56.389,46.111,74.444,97.222,97.5,93.333,94.444,97.5,D
97.778,98.611,97.778,95,96.667,73.333,97.222,98.889,97.778,E
92.222,98.889,98.333,98.889,98.333,73.056,98.611,99.444,97.778,F
54.722,66.667,46.389,63.611,82.222,97.222,83.889,89.444,96.667,G
98.889,98.889,96.111,98.333,98.333,85.278,45.833,55.556,67.222,H
61.944,52.5,45.278,84.167,71.944,63.889,89.444,59.444,44.722,I
57.222,97.5,76.944,98.056,88.056,87.5,60,95.833,91.944,J
96.944,98.889,97.5,98.333,99.444,97.5,98.889,98.889,96.111,A
54.167,93.611,58.056,59.722,74.444,95.278,69.722,78.889,83.889,B
75,82.778,39.167,69.444,80.278,51.667,96.111,83.056,64.444,C
91.667,86.389,73.056,98.889,98.889,97.778,97.5,97.778,97.5,D
97.778,98.611,97.222,97.778,97.778,79.722,97.778,99.444,97.778,E
96.944,97.778,96.944,98.611,98.611,71.389,98.333,99.444,81.944,F
42.5,68.611,58.333,54.167,75.556,96.944,68.056,73.333,92.5,G
98.333,98.611,98.333,58.611,66.944,75.556,41.111,52.778,74.722,H
66.389,56.944,48.889,91.111,71.944,61.389,94.444,60.833,43.333,I
43.611,87.5,58.889,64.444,79.444,49.722,97.778,92.222,39.722,J
46.667,97.778,97.222,97.778,99.167,98.333,98.333,99.444,98.056,A
79.444,85,96.111,70,84.167,89.444,97.5,98.333,97.5,B
95.833,71.389,40,75.556,86.667,93.333,52.778,56.667,72.5,C
86.667,77.222,53.611,90,98.611,97.778,95,98.056,97.778,D
97.778,97.778,64.444,96.111,68.611,54.722,98.333,62.778,41.389,E
97.222,92.778,61.111,97.222,74.444,60.278,97.222,98.333,66.944,F
59.167,94.444,65,82.5,86.111,97.778,98.056,89.722,66.389,G
98.889,99.444,98.333,63.056,72.222,81.389,47.778,65.278,90.278,H
65,56.111,48.889,94.444,65.278,55.278,96.667,51.389,39.722,I
47.778,66.389,82.222,66.111,74.444,81.944,98.611,98.889,96.944,J
46.667,97.222,98.056,97.778,99.444,98.333,98.056,98.889,97.778,A
80.833,85.833,96.667,62.222,87.222,98.333,48.889,93.611,96.667,B
83.611,96.111,38.056,88.333,75,51.944,46.667,96.111,63.333,C
78.889,60.833,44.167,83.056,98.889,94.444,96.944,98.889,98.889,D
98.889,98.889,97.778,96.667,93.333,56.111,97.5,98.333,44.167,E
97.222,97.222,97.5,97.5,98.333,68.889,98.056,96.389,79.722,F
58.889,97.222,66.944,81.667,86.944,97.778,89.167,88.333,92.222,G
98.889,99.167,92.778,98.889,98.889,76.944,45,56.944,66.944,H
61.944,54.444,47.222,79.167,67.778,58.333,95,55,42.778,I
41.944,87.778,71.389,56.944,76.111,95.278,98.889,98.889,95,J
98.056,98.333,95,98.889,99.444,98.333,97.778,99.444,98.333,A
77.778,84.444,93.611,66.111,83.611,90,92.778,98.333,98.333,B
70,95.833,48.333,95.833,72.778,55.833,57.222,94.722,64.167,C
80.556,98.889,98.333,93.333,99.444,98.611,96.111,97.222,98.333,D
98.333,99.444,98.333,97.222,81.389,59.167,97.5,98.056,45.278,E
97.778,98.333,98.333,98.056,97.778,64.444,97.5,95.556,67.5,F
71.389,93.889,58.889,78.333,90.278,97.778,90,90,44.444,G
98.333,98.333,97.778,97.778,98.333,98.333,40.278,49.444,74.722,H
91.667,57.222,47.5,98.333,98.611,98.611,97.778,97.778,47.222,I
80.833,59.167,44.444,71.111,83.333,90.278,96.389,90,95.833,J
96.667,98.889,98.889,98.333,98.889,97.778,98.611,98.333,41.389,A
97.222,93.056,96.667,70.556,87.5,92.5,98.889,98.889,68.611,B
88.889,98.056,46.944,68.333,87.222,76.944,97.222,86.667,73.333,C
67.5,97.222,97.778,81.944,98.056,97.5,76.944,91.944,98.333,D
71.389,98.333,97.5,64.722,80,91.944,95.556,97.778,97.778,E
97.5,98.333,69.444,98.333,93.056,58.611,98.611,97.222,55.278,F
50.278,76.111,63.611,71.111,81.944,85.278,68.889,86.667,98.889,G
98.889,99.444,98.333,60,75.278,96.389,45.833,86.111,64.167,H
90.556,53.056,42.222,78.611,65.556,58.056,97.778,98.333,53.611,I
48.056,69.722,84.167,62.5,73.056,82.222,92.5,96.944,43.056,J
96.667,98.333,97.778,98.333,99.444,98.333,98.889,98.889,92.5,A
97.778,97.222,39.167,82.778,94.167,96.111,98.889,98.889,97.778,B
79.444,87.222,55.833,80.556,87.778,93.611,48.889,96.944,76.389,C
67.222,75.278,97.5,82.222,83.889,97.5,77.222,87.778,93.333,D
98.056,99.444,97.778,71.389,96.667,96.667,75.278,98.056,95.278,E
94.444,98.889,76.667,97.778,78.889,60.556,96.944,96.111,50.556,F
56.667,88.333,48.889,78.889,98.611,67.222,96.111,94.444,98.889,G
97.222,98.056,97.778,58.056,66.667,83.611,41.944,53.333,92.222,H
64.722,52.5,42.222,71.944,65.556,60,98.056,96.667,51.667,I
54.444,78.611,88.611,97.778,97.222,88.611,98.611,70.278,97.778,J
98.889,98.611,62.5,97.778,99.167,97.778,98.333,98.889,97.778,A
72.778,95.833,40.833,77.5,90,56.944,98.056,98.889,60.278,B
75,86.667,41.111,81.667,86.944,56.944,48.333,93.611,63.611,C
73.056,69.444,97.778,83.333,81.389,87.222,42.5,98.333,88.611,D
77.778,99.167,96.944,63.611,81.389,67.778,63.889,97.222,55.556,E
98.056,72.5,51.667,98.889,98.889,95.556,98.333,97.778,97.778,F
68.889,78.611,76.667,52.778,90,97.222,40.833,96.389,97.778,G
98.333,98.056,97.778,60.556,65.556,89.722,42.778,51.667,92.222,H
89.722,57.778,47.5,97.5,65.833,58.611,96.111,51.667,42.222,I
57.222,80.833,88.611,97.778,98.889,95.278,98.889,74.722,97.778,J
98.333,98.611,97.222,98.611,99.444,98.333,98.333,98.611,96.944,A
86.667,90,95.833,86.667,98.889,96.667,91.389,92.222,97.778,B
98.056,98.333,43.056,65.278,91.667,55.278,61.667,95,71.111,C
45,92.778,98.333,95,80,93.333,95.278,88.333,54.444,D
98.056,97.5,97.778,97.778,96.389,74.722,97.778,99.444,98.333,E
98.333,93.333,58.611,98.889,99.444,97.778,98.056,97.222,97.778,F
72.778,75.556,66.944,83.611,85.278,98.056,88.333,87.778,96.667,G
97.778,85.833,46.944,98.611,71.389,94.167,49.444,55.556,79.444,H
76.389,58.889,51.389,71.944,98.056,64.722,91.667,97.222,44.722,I
62.5,88.333,93.889,82.222,98.056,95,60,82.222,95.556,J
43.611,98.333,97.778,95.556,98.889,98.889,92.222,98.056,97.5,A
53.333,83.056,71.667,64.167,96.111,69.167,98.889,98.889,97.5,B
94.444,90.833,40.278,75.833,93.889,50.833,68.056,77.222,67.778,C
43.889,95,98.333,61.944,83.333,94.444,88.333,86.667,92.5,D
98.889,99.444,98.333,88.611,98.333,97.5,97.778,99.444,98.333,E
97.222,65.833,53.056,98.611,98.333,78.056,98.056,98.056,96.944,F
67.5,65.833,75.556,82.778,79.722,66.389,96.667,86.667,97.5,G
97.222,97.778,94.444,97.778,69.722,74.444,46.389,53.611,66.667,H
91.111,56.389,47.778,97.222,98.333,73.056,96.944,97.222,47.5,I
53.611,76.667,93.889,98.056,86.667,97.778,59.722,78.889,67.222,J
96.667,98.333,77.778,98.333,98.889,97.778,98.056,98.056,97.778,A
89.722,94.722,41.389,57.778,85.833,90.833,48.333,98.333,98.889,B
95.833,55.833,36.111,65.833,80,56.944,85.556,80,65.833,C
58.611,97.222,97.5,82.5,99.444,97.778,90,93.611,95,D
98.611,98.611,97.778,97.778,97.778,73.889,98.611,98.889,97.222,E
98.889,99.444,98.333,97.778,97.222,66.944,95.278,97.5,61.389,F
81.944,76.389,55,95.556,85.278,88.333,40.833,98.056,98.056,G
98.056,95.556,41.667,60.278,97.5,77.778,47.5,82.5,67.778,H
89.444,57.5,49.167,95,97.778,71.389,97.222,97.222,50.278,I
89.722,73.333,45.833,69.444,87.222,89.722,91.111,99.444,91.667,J
97.778,98.056,97.778,98.333,99.444,98.056,97.222,96.944,97.778,A
90.833,89.444,93.056,72.778,87.778,91.111,98.333,98.333,56.111,B
92.778,98.333,97.222,61.944,87.222,91.944,66.944,95,75,C
73.333,98.889,97.778,83.611,89.167,97.778,76.944,90.556,95,D
97.778,97.5,63.889,96.667,93.333,60.833,97.5,98.333,45.833,E
98.611,99.444,98.056,96.667,78.611,66.389,94.167,76.944,52.222,F
75.556,69.167,46.667,88.056,98.333,81.111,93.056,93.333,97.778,G
97.222,97.222,43.889,98.889,66.667,94.167,42.778,51.111,61.667,H
62.5,52.5,40.556,98.889,98.889,98.333,97.778,69.722,48.333,I
69.167,83.333,95.556,67.222,82.5,88.333,94.167,77.778,95,J
86.944,98.333,92.778,97.5,98.611,96.667,98.889,98.889,92.5,A
71.111,96.389,41.667,68.889,81.389,93.889,98.056,98.889,98.889,B
75,88.611,36.944,83.611,83.889,54.167,45.278,76.667,62.5,C
73.889,74.444,97.778,83.333,84.722,94.722,94.444,87.778,97.778,D
98.056,98.333,49.722,75.556,97.5,66.111,96.944,98.333,98.611,E
98.889,98.889,97.222,97.5,97.5,78.611,98.056,98.889,97.778,F
69.722,68.333,49.722,89.167,99.444,81.389,96.667,93.889,98.611,G
97.778,98.333,97.778,58.056,65.833,91.944,41.667,50.556,87.778,H
67.222,54.167,43.611,98.333,98.889,98.611,96.944,96.667,52.5,I
62.5,85.278,94.722,98.056,88.889,95.833,58.333,75.833,96.944,J
96.111,98.333,98.333,98.333,99.444,98.333,98.889,98.889,97.222,A
76.667,96.111,41.111,71.944,83.889,94.722,97.778,98.056,98.056,B
94.167,51.111,36.389,66.667,79.444,45,38.333,52.778,57.222,C
62.222,98.056,97.222,79.167,86.111,96.667,46.389,87.5,92.778,D
98.889,98.889,95,84.444,97.778,69.444,97.778,98.056,98.333,E
98.333,96.667,97.778,97.778,93.889,84.722,98.333,97.5,96.389,F
59.722,94.444,60.556,77.778,99.444,85,96.389,87.5,97.778,G
98.056,98.889,97.778,52.222,61.667,78.056,38.889,48.056,62.5,H
66.111,56.389,48.611,97.222,69.444,59.444,97.778,54.167,41.111,I
63.333,80.833,94.167,58.056,98.056,97.5,38.056,63.611,95,J
97.5,98.611,98.333,98.056,99.444,97.778,98.889,98.889,96.944,A
75.278,96.389,41.667,81.667,98.056,97.222,98.611,98.611,97.5,B
77.778,41.944,34.444,79.722,60.833,41.389,45,67.222,52.778,C
98.889,72.778,98.333,93.611,85.278,98.333,79.444,98.889,92.778,D
98.889,98.889,95,79.444,97.222,67.5,95.556,98.889,98.889,E
97.778,98.333,51.667,98.056,97.778,70.278,98.333,97.222,97.778,F
53.889,76.944,62.222,73.611,85.556,97.778,93.611,86.389,91.667,G
98.889,99.167,98.056,53.611,66.111,92.5,41.111,55,95.833,H
65.833,53.889,43.056,87.5,99.444,98.611,93.333,59.722,45.278,I
52.5,82.222,88.611,70,98.611,98.056,98.333,64.722,95.833,J
96.667,98.333,98.333,98.333,98.333,97.778,97.5,98.889,95.556,A
56.944,83.889,50.556,61.667,79.444,96.111,95,98.889,88.889,B
95,43.333,36.111,70.833,93.333,43.056,88.611,71.944,55,C
67.222,98.889,97.778,80.556,98.611,98.056,59.722,92.222,98.611,D
98.889,98.889,96.667,96.111,98.333,81.111,98.333,98.611,98.611,E
98.333,98.333,97.222,98.056,98.056,87.778,98.333,98.889,98.611,F
58.056,65,55.556,76.944,77.5,68.333,84.444,84.444,97.222,G
98.333,98.889,98.056,54.444,70.278,90,44.444,67.222,56.389,H
61.944,51.111,41.667,97.778,70.556,59.722,97.222,56.667,47.778,I
59.722,83.611,88.889,65.278,80.556,87.778,98.889,71.944,98.333,J
98.056,98.333,97.778,98.333,98.333,97.778,97.778,98.889,98.611,A
67.5,83.333,40,66.111,83.889,89.444,95.556,98.889,97.5,B
75,81.389,40.278,64.444,78.889,52.778,87.778,76.667,62.222,C
50,61.111,97.222,70.556,75.278,98.056,81.389,80.556,88.611,D
44.167,95,97.778,62.778,98.056,95.556,98.333,98.889,98.056,E
98.333,98.333,96.111,98.611,98.333,82.222,98.056,98.889,98.056,F
56.389,97.778,80.833,82.778,96.111,97.778,96.944,92.222,96.111,G
98.611,98.889,96.667,58.889,73.611,59.167,50,91.389,42.222,H
66.389,53.889,44.167,73.611,69.167,97.222,97.778,86.389,45,I
62.778,76.944,83.333,54.444,73.889,85,48.611,88.056,72.5,J
98.333,98.333,97.5,98.333,98.889,98.056,98.611,98.889,97.222,A
71.667,80.833,93.611,59.722,76.389,84.444,62.222,83.611,88.889,B
79.167,88.611,91.389,81.944,88.333,96.389,48.333,57.778,80.833,C
51.667,60.556,94.167,75.278,75.556,83.056,96.944,81.944,85.278,D
98.056,98.056,97.778,81.111,97.778,76.389,98.333,97.778,94.722,E
97.222,94.444,58.333,98.333,78.889,67.222,97.5,96.667,97.5,F
51.667,98.889,98.889,63.056,94.167,98.056,74.167,84.444,96.389,G
98.056,98.333,57.5,98.611,98.889,86.667,44.167,61.944,74.444,H
90.556,64.444,52.778,96.111,96.111,61.667,95.556,97.222,41.111,I
87.222,79.167,62.222,66.389,83.056,73.611,96.667,97.778,90.556,J
97.778,98.056,91.111,98.333,99.444,97.778,98.333,98.889,97.5,A
79.444,84.722,96.944,68.889,82.5,88.056,98.333,98.333,97.778,B
77.778,87.5,90.556,81.389,88.611,95,56.111,60.556,95.278,C
82.778,88.889,96.667,90.556,90.833,95,96.667,93.333,93.333,D
98.333,98.333,97.778,97.778,98.333,96.667,86.944,98.333,97.778,E
98.056,98.333,81.389,98.889,98.889,78.333,98.333,98.611,97.778,F
49.444,96.667,63.056,63.889,96.667,98.056,98.333,90,98.056,G
98.611,98.611,95,98.333,76.667,91.111,43.333,56.667,70.278,H
96.389,60,52.5,98.333,93.056,60.556,98.056,95.556,42.778,I
56.389,84.167,88.889,69.722,98.611,93.333,66.667,71.389,97.222,J
62.222,98.333,97.222,97.778,99.444,96.944,97.5,97.222,97.222,A
95,97.778,45.278,62.222,76.667,95,64.722,82.5,94.444,B
78.611,48.611,37.5,66.111,59.444,45.833,91.111,68.056,60,C
92.222,87.778,71.944,93.889,99.444,97.222,96.111,96.389,96.944,D
97.778,97.5,46.111,97.5,96.111,67.778,98.056,98.056,51.944,E
98.333,98.889,94.444,98.056,98.611,86.389,98.333,97.5,96.667,F
57.778,73.889,69.444,90.278,86.389,98.333,55,97.222,96.111,G
97.778,98.889,97.5,51.111,64.167,72.5,39.722,48.889,66.111,H
92.222,63.056,53.333,96.667,63.056,53.333,96.111,49.722,40,I
84.722,88.056,97.222,78.056,98.611,95.278,70.278,67.5,97.778,J
97.5,97.222,96.111,98.333,99.444,97.778,97.5,98.056,97.222,A
96.944,53.611,41.111,61.944,78.056,79.167,53.056,98.056,98.333,B
96.944,96.667,41.111,68.889,93.056,53.056,97.778,77.778,62.222,C
91.111,86.111,71.944,95.556,99.444,97.778,96.667,97.778,96.667,D
98.889,98.889,97.778,97.778,96.667,80.278,97.222,98.056,98.056,E
98.611,98.889,98.333,98.333,97.222,72.778,96.667,98.889,98.889,F
42.222,63.056,66.389,96.667,80,98.333,66.944,98.333,93.333,G
97.778,98.333,97.778,47.778,59.722,71.389,37.778,49.167,91.111,H
93.889,67.778,53.889,97.778,98.056,63.611,96.667,97.778,44.444,I
56.944,94.167,51.111,96.389,92.5,96.944,69.167,97.778,96.389,J
98.333,98.333,98.056,98.333,99.444,98.333,98.333,98.889,97.222,A
78.333,95,40.556,64.722,81.944,93.611,95.556,98.333,97.778,B
96.111,95.556,40.278,84.722,71.389,55,75.278,77.222,69.444,C
63.333,85,98.333,79.444,86.111,97.778,97.222,88.333,97.222,D
91.667,97.5,98.333,75.833,97.778,98.333,98.889,98.889,96.111,E
98.333,98.889,93.056,98.056,97.778,70.278,98.056,98.889,98.889,F
46.667,61.389,65.833,68.056,73.333,97.778,81.389,79.167,96.389,G
97.778,98.333,97.222,96.944,98.333,98.333,40,48.889,60.556,H
92.5,60,50.556,96.389,61.944,53.056,96.667,49.167,40,I
69.444,96.111,45.833,95,98.056,96.944,74.167,99.444,97.778,J
98.333,98.333,98.333,98.889,98.889,97.778,97.222,97.778,97.778,A
96.667,90,92.778,71.667,86.667,91.667,97.778,98.611,97.222,B
98.333,97.222,38.889,79.167,90.833,49.444,93.611,73.889,60.833,C
83.056,71.111,77.222,87.5,96.111,97.778,91.944,95.278,96.944,D
98.889,98.611,93.333,67.5,97.222,80.278,65.278,98.056,98.889,E
96.667,97.778,88.333,97.778,87.778,76.111,98.056,98.333,51.667,F
54.722,88.889,48.333,74.167,75.278,64.444,86.389,96.944,97.778,G
98.333,98.611,90.278,98.611,98.889,92.778,43.611,51.944,91.944,H
64.444,55.833,48.333,98.333,98.333,65.278,97.778,96.111,42.5,I
56.667,79.722,93.889,97.5,88.889,88.889,62.5,94.722,43.611,J
95,98.333,98.056,97.5,98.333,97.222,97.5,98.611,96.944,A
66.389,79.167,47.778,56.944,78.889,88.333,48.056,98.056,98.333,B
98.333,97.778,39.167,79.167,94.444,51.389,95,77.222,64.167,C
59.167,96.667,98.333,81.944,94.722,98.333,93.889,98.056,98.333,D
98.056,97.778,97.778,61.389,97.222,75.556,44.444,98.333,97.778,E
96.944,98.889,76.944,97.778,93.056,60.278,98.056,98.333,45.833,F
61.111,76.667,59.444,82.5,83.056,80.556,96.111,88.056,96.389,G
98.889,98.889,68.889,98.056,98.333,96.111,42.5,51.389,88.889,H
64.167,49.722,40,98.056,98.056,56.944,96.944,95.556,50.278,I
55,69.167,47.5,66.944,82.222,90,98.889,90,96.111,J
97.222,97.222,97.222,98.333,99.444,98.056,97.778,97.5,97.222,A
82.5,87.778,97.222,76.667,90.556,94.722,98.333,98.889,97.778,B
93.333,87.222,88.611,63.333,80.556,94.167,57.5,96.111,73.611,C
75,89.167,97.778,96.111,89.167,98.333,41.111,89.722,96.111,D
98.333,99.444,98.333,70.556,97.778,93.611,96.667,97.778,98.333,E
97.5,98.333,97.5,98.333,99.444,83.056,98.889,98.889,90.556,F
67.222,70,64.722,81.944,79.167,78.889,97.222,86.944,97.778,G
98.889,98.889,96.667,49.444,62.5,78.889,38.889,48.056,72.778,H
97.5,62.222,51.111,86.667,98.056,72.5,49.167,97.778,91.111,I
55.833,91.944,53.611,63.056,78.056,85.833,98.056,98.611,95.278,J
97.778,97.778,98.333,98.333,99.444,98.333,98.056,99.167,98.056,A
82.5,90.278,76.667,98.333,94.722,93.889,98.333,98.611,97.778,B
97.222,98.056,46.667,70.833,85,60,68.333,86.944,71.389,C
79.444,88.333,97.778,96.944,90,98.889,50,91.667,96.389,D
97.778,98.333,98.056,96.111,97.778,70.278,98.333,98.889,97.222,E
96.944,97.778,78.333,98.333,98.611,76.667,98.611,99.444,98.333,F
70.278,77.222,56.389,82.5,85.556,97.778,96.667,87.5,97.778,G
98.333,99.444,97.778,55.278,66.944,76.667,40.278,51.111,77.778,H
75.556,55.556,43.611,98.889,99.444,98.611,97.778,55.556,43.889,I
74.722,56.944,42.778,76.944,88.611,95.556,97.778,98.056,95.278,J
98.889,98.889,96.667,97.778,99.444,98.056,97.5,98.889,98.333,A
81.389,87.222,97.222,75.833,90.556,93.056,97.222,98.333,98.333,B
